"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Gyoerffyella","Helotiales",8,46851,22,14,4,4,"","higher in forest","higher in paramo",TRUE,"",5.45342295032378,2,0.0654341179626129,0.0381586081123272,0.0013701884158459,1.06268550823446,0.0543364688057013,"estimated",0.00413879144967303,0.000211688611863632,0.0809188293743517,0.000297451055337574,"estimated",0.108462851618951,0.00387514821192664,3.03580393263606,0.191307786740274,"estimated",0.257062606281694,0.277719729451362,0.0130878464348532,0.502019576494806,TRUE
"Oidiodendron","Helotiales",14,130774,26,17,8,1,"","forest only","forest only",TRUE,"",11.562019300351,2,0.00308559845996118,0.0128616101824405,0.000250951426283322,0.659175438589846,0.0302000472232027,"estimated",6.33389665831366e-05,2.04125567166926e-07,0.0196537099369771,0.000958968422760948,"estimated",0.00492465295438756,2.79162497845619e-05,0.868748736249307,0.0440856596430927,"estimated",0.0424269788244663,0.173650271533416,0.0140648702004939,0.277109860613725,TRUE
"Capnobotryella","Mycosphaerellales",5,41523,12,9,2,1,"","forest only","higher in forest",TRUE,"",11.6222116783928,2,0.00299411722873717,4.51430816677519e-05,1.80748238458552e-07,0.0112747866305133,0.000381791645124682,"estimated",3.11884567590503e-05,7.34046568534189e-08,0.0132514730905093,0.000778757781508199,"estimated",0.690880099604051,0.0103738375028992,46.0114506223476,0.862950676835041,"estimated",0.0424269788244663,0.00942852065540982,0.0140648702004939,0.917672211092886,FALSE
"Clavaria","Agaricales",17,11993,14,7,5,2,"","forest only","forest only",TRUE,"",3.68670445266076,2,0.158285925502287,0.177124256784402,0.00400909191426272,7.8254634746124,0.37050600299027,"estimated",0.000108736612626003,1.16033681964001e-07,0.101898437809168,0.0089462853870768,"estimated",0.000613900177197972,8.52576015817e-07,0.442040850987996,0.0275839366237882,"estimated",0.430816039613005,0.761939614421966,0.0871755966120162,0.213625466944145,FALSE
"Leptobacillium","Hypocreales",15,5566,25,12,9,4,"","higher in forest","forest only",TRUE,"",4.62372317423308,2,0.0990766399811531,0.393193609037341,0.0306831628466666,5.03863356461655,0.473189558516538,"estimated",0.0397182125990136,0.00342213502883883,0.460980177218701,0.00990631779682002,"estimated",0.101014390076828,0.00551414664585851,1.85049612531747,0.122310861954181,"estimated",0.341956473512617,0.761939614421966,0.0871755966120162,0.448473160498665,FALSE
"Basidiodendron","Auriculariales",12,7657,11,5,5,1,"","higher in forest","forest only",TRUE,"",4.61563256688547,2,0.0994782468400342,0.0430626187179124,0.000406362530911531,4.56338611408053,0.186198238097889,"estimated",0.00274157720003173,2.39463306320294e-05,0.313878800858134,0.0147258407306513,"estimated",0.0636648973438147,0.000189591249745805,21.3787248052472,0.3533851934056,"estimated",0.341956473512617,0.598004865304375,0.0989735944543773,0.70356241125606,FALSE
"Cladosporium","Cladosporiales",3,4300,13,10,2,1,"","higher in forest","forest only",TRUE,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",7.90512535837172,2,0.0192054213238809,0.00490814540993362,6.48110709039983e-05,0.371694079870024,0.0160298780914291,"estimated",0.00324809866188272,3.10394541775716e-05,0.339894666219602,0.0157457991177418,"estimated",0.661777186818646,0.0218827096917323,20.0134741612492,0.812398120749404,"estimated",0.117366463645939,0.105339198886534,0.0989735944543773,0.908437519799827,FALSE
"Pezicula","Helotiales",5,179213,24,12,4,8,"","higher in forest","paramo only",TRUE,"",9.78646684909995,2,0.00749714179893352,0.0987550727785535,0.000556855664588654,17.5136305863056,0.380869574841863,"estimated",858.666149574996,2.19019345723253,336640.379410863,0.0266033054534215,"estimated",8694.90675684531,22.7452814750082,3323828.00332907,0.00279147157791861,"estimated",0.0687237998235573,0.761939614421966,0.146318179993818,0.0614123747142095,TRUE
"Serendipita","Sebacinales",62,710210,46,22,14,10,"","higher in forest","higher in forest",TRUE,"",4.40968387486896,2,0.110267953162674,0.621714884127952,0.0990071408803616,3.90405574496195,0.612149682031428,"estimated",0.119284725375653,0.0160757440568605,0.885112729937531,0.0375888193483535,"estimated",0.191864033531974,0.0222145039612442,1.65710688059391,0.133401145970928,"estimated",0.355382085531634,0.854784604359336,0.183767561258617,0.451511570978527,TRUE
"Oliveonia","Cantharellales",7,10298,10,7,1,2,"","forest only","paramo only",TRUE,"",4.30304639672693,2,0.116306864355807,1.67721512793717e-05,2.45009802989879e-09,0.114813797287021,0.014674068995721,"estimated",0.000125511126995587,1.90115617762444e-08,0.828603309139297,0.0452995406569484,"estimated",7.48330520664663,0.0258763878232658,2164.12959947502,0.48637702694574,"estimated",0.355382085531634,0.105339198886534,0.199317978890573,0.742007646956359,FALSE
