
==== Habitat effect (adjusted for site) by error family ====
 metric F_gaussian F_lognormal F_gamma_log p_gaussian p_lognormal p_gamma_log
 TD q=0      12.20        7.65        9.21   4.39e-05    0.001180    0.000361
 TD q=1       3.51        1.92        3.21   3.68e-02    0.157000    0.048300
 TD q=2       1.96        1.03        2.00   1.51e-01    0.364000    0.145000
 PD q=0      12.10        8.12        9.61   4.42e-05    0.000828    0.000268
 PD q=1       3.42        3.18        4.07   4.01e-02    0.049300    0.022500
 PD q=2       4.80        4.40        4.54   1.20e-02    0.017000    0.015100

==== Tukey habitat contrasts by error family (p-values) ====
 metric           contrast gaussian lognormal gamma_log
 TD q=0 forest - subparamo 0.000291        NA        NA
 TD q=0    forest - paramo 0.000211        NA        NA
 TD q=0 subparamo - paramo 0.756000        NA        NA
 TD q=0 forest / subparamo       NA   0.00463  0.000550
 TD q=0    forest / paramo       NA   0.00328  0.000207
 TD q=0 subparamo / paramo       NA   0.81700  0.644000
 TD q=1 forest - subparamo 0.062300        NA        NA
 TD q=1    forest - paramo 0.071200        NA        NA
 TD q=1 subparamo - paramo 0.959000        NA        NA
 TD q=1 forest / subparamo       NA   0.17600  0.054900
 TD q=1    forest / paramo       NA   0.28400  0.078400
 TD q=1 subparamo / paramo       NA   1.00000  0.983000
 TD q=2 forest - subparamo 0.160000        NA        NA
 TD q=2    forest - paramo 0.302000        NA        NA
 TD q=2 subparamo - paramo 0.993000        NA        NA
 TD q=2 forest / subparamo       NA   0.33300  0.135000
 TD q=2    forest / paramo       NA   0.82700  0.378000
 TD q=2 subparamo / paramo       NA   0.77800  0.933000
 PD q=0 forest - subparamo 0.000554        NA        NA
 PD q=0    forest - paramo 0.000123        NA        NA
 PD q=0 subparamo - paramo 0.541000        NA        NA
 PD q=0 forest / subparamo       NA   0.00544  0.001090
 PD q=0    forest / paramo       NA   0.00165  0.000104
 PD q=0 subparamo / paramo       NA   0.64500  0.397000
 PD q=1 forest - subparamo 0.121000        NA        NA
 PD q=1    forest - paramo 0.046500        NA        NA
 PD q=1 subparamo - paramo 0.734000        NA        NA
 PD q=1 forest / subparamo       NA   0.13600  0.124000
 PD q=1    forest / paramo       NA   0.05720  0.047200
 PD q=1 subparamo / paramo       NA   0.75700  0.730000
 PD q=2 forest - subparamo 0.014600        NA        NA
 PD q=2    forest - paramo 0.055600        NA        NA
 PD q=2 subparamo - paramo 0.989000        NA        NA
 PD q=2 forest / subparamo       NA   0.01950  0.022700
 PD q=2    forest / paramo       NA   0.07390  0.094000
 PD q=2 subparamo / paramo       NA   0.98300  0.969000

==== Tukey habitat contrasts: effect sizes ====
 metric           contrast    family      scale estimate
 TD q=0 forest - subparamo  gaussian difference 51.60000
 TD q=0    forest - paramo  gaussian difference 61.30000
 TD q=0 subparamo - paramo  gaussian difference  9.68000
 TD q=0 forest / subparamo lognormal      ratio  1.52000
 TD q=0    forest / paramo lognormal      ratio  1.65000
 TD q=0 subparamo / paramo lognormal      ratio  1.09000
 TD q=0 forest / subparamo gamma_log      ratio  1.52000
