"","site","site_elevation","habitat","treeline","Individual","elevation","elevation_adj"
"BEL_1_1","BEL","BEL_1","subparamo","above","1",3200,3300
"BEL_1_2","BEL","BEL_1","subparamo","above","2",3200,3300
"BEL_1_3","BEL","BEL_1","subparamo","above","3",3200,3300
"BEL_1_4","BEL","BEL_1","subparamo","above","4",3200,3300
"BEL_1_5","BEL","BEL_1","subparamo","above","5",3200,3300
"BEL_2_1","BEL","BEL_2","forest","below","1",2950,3000
"BEL_2_2","BEL","BEL_2","forest","below","2",2950,3000
"BEL_2_3","BEL","BEL_2","forest","below","3",2950,3000
"BEL_2_4","BEL","BEL_2","forest","below","4",2950,3000
"BEL_2_5","BEL","BEL_2","forest","below","5",2950,3000
"BEL_3_1","BEL","BEL_3","forest","below","1",2700,2700
"BEL_3_2","BEL","BEL_3","forest","below","2",2700,2700
"BEL_3_3","BEL","BEL_3","forest","below","3",2700,2700
"BEL_3_4","BEL","BEL_3","forest","below","4",2700,2700
"BEL_3_5","BEL","BEL_3","forest","below","5",2700,2700
"DOM_1_1","DOM","DOM_1","paramo","above","1",3815,3800
"DOM_1_2","DOM","DOM_1","paramo","above","2",3815,3800
"DOM_1_3","DOM","DOM_1","paramo","above","3",3815,3800
"DOM_1_4","DOM","DOM_1","paramo","above","4",3815,3800
"DOM_1_5","DOM","DOM_1","paramo","above","5",3815,3800
"DOM_2_1","DOM","DOM_2","subparamo","above","1",3534,3500
"DOM_2_2","DOM","DOM_2","subparamo","above","2",3534,3500
"DOM_2_3","DOM","DOM_2","subparamo","above","3",3534,3500
"DOM_2_4","DOM","DOM_2","subparamo","above","4",3534,3500
"DOM_2_5","DOM","DOM_2","subparamo","above","5",3534,3500
"DOM_3_1","DOM","DOM_3","forest","below","1",3224,3300
"DOM_3_2","DOM","DOM_3","forest","below","2",3224,3300
"DOM_3_3","DOM","DOM_3","forest","below","3",3224,3300
"DOM_3_4","DOM","DOM_3","forest","below","4",3224,3300
"DOM_3_5","DOM","DOM_3","forest","below","5",3224,3300
"MA_1_1","MA","MA_1","paramo","above","1",3677,3800
"MA_1_2","MA","MA_1","paramo","above","2",3677,3800
"MA_1_3","MA","MA_1","paramo","above","3",3677,3800
"MA_1_4","MA","MA_1","paramo","above","4",3677,3800
"MA_1_5","MA","MA_1","paramo","above","5",3677,3800
"MA_2_1","MA","MA_2","subparamo","above","1",3380,3300
"MA_2_2","MA","MA_2","subparamo","above","2",3380,3300
"MA_2_3","MA","MA_2","subparamo","above","3",3380,3300
"MA_2_4","MA","MA_2","subparamo","above","4",3380,3300
"MA_2_5","MA","MA_2","subparamo","above","5",3380,3300
"NV_1_1","NV","NV_1","paramo","above","1",3830,3800
"NV_1_2","NV","NV_1","paramo","above","2",3830,3800
"NV_1_3","NV","NV_1","paramo","above","3",3830,3800
"NV_1_4","NV","NV_1","paramo","above","4",3830,3800
"NV_1_5","NV","NV_1","paramo","above","5",3830,3800
"NV_2_1","NV","NV_2","subparamo","above","1",3550,3500
"NV_2_2","NV","NV_2","subparamo","above","2",3550,3500
"NV_2_3","NV","NV_2","subparamo","above","3",3550,3500
"NV_2_4","NV","NV_2","subparamo","above","4",3550,3500
"NV_2_5","NV","NV_2","subparamo","above","5",3550,3500
"NV_3_1","NV","NV_3","forest","below","1",3333,3300
"NV_3_2","NV","NV_3","forest","below","2",3333,3300
"NV_3_3","NV","NV_3","forest","below","3",3333,3300
"NV_3_4","NV","NV_3","forest","below","4",3333,3300
"NV_3_5","NV","NV_3","forest","below","5",3333,3300
"NV_4_1","NV","NV_4","forest","below","1",3078,3000
"NV_4_2","NV","NV_4","forest","below","2",3078,3000
"NV_4_3","NV","NV_4","forest","below","3",3078,3000
"NV_4_4","NV","NV_4","forest","below","4",3078,3000
"NV_4_5","NV","NV_4","forest","below","5",3078,3000
