"Site","Taxonomic_Level","N_units","beta.SIM","beta.SNE","beta.SOR","Turnover_pct"
"DOM","OTU",1158,0.9389,0.0147,0.9536,98.5
"DOM","Genus",283,0.8366,0.0399,0.8764,95.5
"DOM","Order",88,0.6998,0.0748,0.7746,90.3
"DOM","Class",32,0.5562,0.1243,0.6805,81.7
"DOM","Phylum",11,0.3737,0.2616,0.6353,58.8
"NV","OTU",1607,0.9517,0.0133,0.965,98.6
"NV","Genus",333,0.8535,0.0454,0.8989,94.9
"NV","Order",100,0.7333,0.0904,0.8236,89
"NV","Class",38,0.6405,0.1188,0.7593,84.4
"NV","Phylum",10,0.5153,0.1946,0.7099,72.6
"BEL","OTU",1405,0.93,0.0138,0.9438,98.5
"BEL","Genus",286,0.8026,0.0464,0.849,94.5
"BEL","Order",96,0.6867,0.0823,0.769,89.3
"BEL","Class",37,0.5869,0.1094,0.6963,84.3
"BEL","Phylum",12,0.3985,0.2444,0.6429,62
"MA","OTU",594,0.9264,0.0131,0.9395,98.6
"MA","Genus",145,0.7582,0.0638,0.8221,92.2
"MA","Order",59,0.6234,0.0924,0.7159,87.1
"MA","Class",21,0.3624,0.1873,0.5498,65.9
"MA","Phylum",7,0.1818,0.2513,0.4331,42
