"diversity","q","subset","n_plants","df1","df2","F","p"
"TD",0,"all sites",60,4,50,1.49767982399407,0.21706564996492
"TD",0,"without BEL",45,3,37,1.72248893092393,0.179193311488841
"TD",0,"without DOM",45,2,38,0.852316571535374,0.434415958026582
"TD",0,"without MA",50,3,42,0.845555271772361,0.476755886512936
"TD",0,"without NV",40,2,33,2.91099827456112,0.0685007313431218
"TD",0,"NV + DOM only (complete gradients)",35,2,29,1.11153793197186,0.342667998183687
"TD",1,"all sites",60,4,50,1.43188033436338,0.23719523279835
"TD",1,"without BEL",45,3,37,1.3767790990504,0.264995174859425
"TD",1,"without DOM",45,2,38,1.77710537693174,0.182895328075024
"TD",1,"without MA",50,3,42,0.24505449405377,0.864378033952652
"TD",1,"without NV",40,2,33,3.19561668711004,0.0538749588887683
"TD",1,"NV + DOM only (complete gradients)",35,2,29,0.182411761587466,0.834206826941354
"TD",2,"all sites",60,4,50,1.40230957782538,0.246792145921992
"TD",2,"without BEL",45,3,37,1.06542223106862,0.375515234459158
"TD",2,"without DOM",45,2,38,2.09672105874933,0.136846648456804
"TD",2,"without MA",50,3,42,0.646151048765002,0.589746596747623
"TD",2,"without NV",40,2,33,2.51466576893955,0.0962767886460117
"TD",2,"NV + DOM only (complete gradients)",35,2,29,0.379646468733617,0.687453214990189
"PD",0,"all sites",60,4,50,1.00116657509593,0.415814261200623
"PD",0,"without BEL",45,3,37,1.06395066326903,0.376128188646974
"PD",0,"without DOM",45,2,38,0.584474314087082,0.562330917922116
"PD",0,"without MA",50,3,42,0.707819219010091,0.552754926448636
"PD",0,"without NV",40,2,33,1.82384195896685,0.177301419548836
"PD",0,"NV + DOM only (complete gradients)",35,2,29,0.868687957847378,0.430132774801659
"PD",1,"all sites",60,4,50,3.8086008056991,0.00885692413035096
"PD",1,"without BEL",45,3,37,4.29511683535814,0.0106922238887395
"PD",1,"without DOM",45,2,38,1.78475110252767,0.18162125921293
"PD",1,"without MA",50,3,42,4.24765578717268,0.0104124171012756
"PD",1,"without NV",40,2,33,3.24080493780769,0.0518758153601508
"PD",1,"NV + DOM only (complete gradients)",35,2,29,5.21446291338909,0.0116266408691898
"PD",2,"all sites",60,4,50,7.27320365964747,0.000106965795150299
"PD",2,"without BEL",45,3,37,9.45888780199883,8.98959265802396e-05
"PD",2,"without DOM",45,2,38,1.54658775324012,0.226080954876161
"PD",2,"without MA",50,3,42,9.00698538975672,0.000100418136098363
"PD",2,"without NV",40,2,33,5.44668818191034,0.00903434541262616
"PD",2,"NV + DOM only (complete gradients)",35,2,29,12.7321616288219,0.000107434891547716
