"metric","family","contrast","scale","estimate","p"
"TD q=0","gaussian","forest - subparamo","difference",51.6091673070786,0.00029076703066222
"TD q=0","gaussian","forest - paramo","difference",61.2939066969434,0.000211069188074897
"TD q=0","gaussian","subparamo - paramo","difference",9.68473938986483,0.755947489858643
"TD q=0","lognormal","forest / subparamo","ratio",1.51868582362145,0.00462634269038498
"TD q=0","lognormal","forest / paramo","ratio",1.65250902153745,0.00327690700504635
"TD q=0","lognormal","subparamo / paramo","ratio",1.08811776328885,0.816946818924813
"TD q=0","gamma_log","forest / subparamo","ratio",1.52039147417799,0.000549692641277022
"TD q=0","gamma_log","forest / paramo","ratio",1.68638063976492,0.000206748299779957
"TD q=0","gamma_log","subparamo / paramo","ratio",1.10917528044984,0.643863883773264
"TD q=1","gaussian","forest - subparamo","difference",7.40305422706806,0.0622954178833407
"TD q=1","gaussian","forest - paramo","difference",8.37216336100648,0.0712320592860001
"TD q=1","gaussian","subparamo - paramo","difference",0.969109133938418,0.959324423909129
"TD q=1","lognormal","forest / subparamo","ratio",1.38850335507464,0.176117079302362
"TD q=1","lognormal","forest / paramo","ratio",1.38092810163935,0.283893676212593
"TD q=1","lognormal","subparamo / paramo","ratio",0.994544303110537,0.99958813287421
"TD q=1","gamma_log","forest / subparamo","ratio",1.4781450924996,0.0549355966662521
"TD q=1","gamma_log","forest / paramo","ratio",1.52702851491157,0.0783895837255704
"TD q=1","gamma_log","subparamo / paramo","ratio",1.03307078761078,0.982538198294769
"TD q=2","gaussian","forest - subparamo","difference",3.30889811742679,0.160405609941195
"TD q=2","gaussian","forest - paramo","difference",3.086466433945,0.301771536309724
"TD q=2","gaussian","subparamo - paramo","difference",-0.22243168348179,0.992949719017196
"TD q=2","lognormal","forest / subparamo","ratio",1.30842730553577,0.333022290274311
"TD q=2","lognormal","forest / paramo","ratio",1.1372080232108,0.826582198215606
"TD q=2","lognormal","subparamo / paramo","ratio",0.869141157784953,0.778372170794191
"TD q=2","gamma_log","forest / subparamo","ratio",1.42292011942239,0.134554520844374
"TD q=2","gamma_log","forest / paramo","ratio",1.32582483327359,0.377715940848894
"TD q=2","gamma_log","subparamo / paramo","ratio",0.931763361257264,0.933254754232244
"PD q=0","gaussian","forest - subparamo","difference",5.76385500565085,0.000554133314063288
"PD q=0","gaussian","forest - paramo","difference",7.45079245756954,0.00012333835294398
"PD q=0","gaussian","subparamo - paramo","difference",1.68693745191869,0.541490588865841
"PD q=0","lognormal","forest / subparamo","ratio",1.39782227092994,0.00544118796545867
"PD q=0","lognormal","forest / paramo","ratio",1.5473478353367,0.00165395944283164
"PD q=0","lognormal","subparamo / paramo","ratio",1.10697036920673,0.64525103892491
"PD q=0","gamma_log","forest / subparamo","ratio",1.39358841325583,0.00109208420572704
"PD q=0","gamma_log","forest / paramo","ratio",1.58130488108492,0.000104041832548529
"PD q=0","gamma_log","subparamo / paramo","ratio",1.13470007790215,0.396867606240512
"PD q=1","gaussian","forest - subparamo","difference",0.263809185002395,0.120802703015192
"PD q=1","gaussian","forest - paramo","difference",0.372940629312757,0.046487436173045
"PD q=1","gaussian","subparamo - paramo","difference",0.109131444310362,0.733963246639728
"PD q=1","lognormal","forest / subparamo","ratio",1.15507751549133,0.136210629718465
"PD q=1","lognormal","forest / paramo","ratio",1.22440255475524,0.0571873217473085
"PD q=1","lognormal","subparamo / paramo","ratio",1.06001765105298,0.757222854912261
"PD q=1","gamma_log","forest / subparamo","ratio",1.18011514874788,0.124485390197379
"PD q=1","gamma_log","forest / paramo","ratio",1.26525197722815,0.0471829585031119
"PD q=1","gamma_log","subparamo / paramo","ratio",1.07214281468262,0.729810177306098
"PD q=2","gaussian","forest - subparamo","difference",0.140243148693926,0.0145678807067178
"PD q=2","gaussian","forest - paramo","difference",0.132626903004917,0.0555933239299725
"PD q=2","gaussian","subparamo - paramo","difference",-0.00761624568900937,0.98881474113161
"PD q=2","lognormal","forest / subparamo","ratio",1.15739937246818,0.0195286334007511
"PD q=2","lognormal","forest / paramo","ratio",1.14575165706089,0.0738973063204197
"PD q=2","lognormal","subparamo / paramo","ratio",0.989936304024031,0.983256989090749
"PD q=2","gamma_log","forest / subparamo","ratio",1.16203120909854,0.0226840196617507
"PD q=2","gamma_log","forest / paramo","ratio",1.14527292249716,0.093982129620186
"PD q=2","gamma_log","subparamo / paramo","ratio",0.985578453943262,0.968866054879496
