"metric","family","AICc_site","AICc_additive","AICc_interaction","dAICc_habitat","dAICc_interaction","best"
"TD q=0","gaussian",635.624571638633,618.369335619055,625.859983944276,-17.2552360195781,7.49064832522106,"habitat + site"
"TD q=0","lognormal",639.013438250308,629.079929206986,633.78138036352,-9.93350904332146,4.70145115653361,"habitat + site"
"TD q=0","gamma_log",634.287854776462,621.303401083538,626.962587527296,-12.9844536929241,5.65918644375813,"habitat + site"
"TD q=1","gaussian",459.213408730745,456.920753520345,464.889830673114,-2.29265521039974,7.9690771527691,"habitat + site"
"TD q=1","lognormal",439.934725869768,440.864862604542,445.328854173507,0.93013673477401,4.46399156896518,"site only"
"TD q=1","gamma_log",440.55922036788,438.54999315781,443.614739686869,-2.00922721007021,5.06474652905905,"habitat + site"
"TD q=2","gaussian",385.693139787687,386.53933026764,393.898525726874,0.846190479952611,7.35919545923463,"site only"
"TD q=2","lognormal",361.653236696399,364.450623730776,369.487596901288,2.79738703437692,5.03697317051189,"site only"
"TD q=2","gamma_log",364.007877211459,364.544032073738,369.383257908719,0.536154862278806,4.83922583498099,"site only"
"PD q=0","gaussian",378.338709087376,361.101218793711,369.427532514891,-17.2374902936656,8.3263137211801,"habitat + site"
"PD q=0","lognormal",383.82309260077,373.095402525149,379.502441073502,-10.7276900756216,6.40703854835328,"habitat + site"
"PD q=0","gamma_log",380.188937691269,366.661837166253,374.056364539689,-13.5271005250156,7.39452737343549,"habitat + site"
"PD q=1","gaussian",76.1273115407539,74.02211257703,69.7776949963467,-2.10519896372389,-4.24441758068326,"habitat * site"
"PD q=1","lognormal",42.5927691141603,40.9463443588383,36.12613650551,-1.64642475532197,-4.82020785332831,"habitat * site"
"PD q=1","gamma_log",48.5964965945416,45.128409977572,39.0393148433063,-3.46808661696961,-6.0890951342657,"habitat * site"
"PD q=2","gaussian",-41.4195604003203,-46.203432061993,-68.7782221264553,-4.78387166167266,-22.5747900644623,"habitat * site"
"PD q=2","lognormal",-59.0613772063079,-63.0790047030496,-78.7407455956143,-4.01762749674175,-15.6617408925647,"habitat * site"
"PD q=2","gamma_log",-56.8856327167836,-61.203681609656,-77.9940590999463,-4.31804889287236,-16.7903774902902,"habitat * site"
