"genus","site","habitat","n_plants","plants_present","mean_rel_abund"
"Absconditella","BEL","forest",10,0,0
"Acanthobasidium","BEL","forest",10,0,0
"Acaulospora","BEL","forest",10,1,5.46958490057978e-05
"Acephala","BEL","forest",10,0,0
"Acidomelania","BEL","forest",10,0,0
"Acremonium","BEL","forest",10,1,1.51465428016055e-06
"Acrodictys","BEL","forest",10,1,1.74197283547067e-05
"Acrodontium","BEL","forest",10,0,0
"Ainoa","BEL","forest",10,0,0
"Alfaria","BEL","forest",10,4,0.000361626224958216
"Angustimassarina","BEL","forest",10,0,0
"Apenidiella","BEL","forest",10,1,4.4257719020387e-06
"Aphanobasidium","BEL","forest",10,0,0
"Aphanocladium","BEL","forest",10,0,0
"Apiotrichum","BEL","forest",10,6,0.00263250883826648
"Apodus","BEL","forest",10,0,0
"Arachnopeziza","BEL","forest",10,8,0.000397216753415338
"Archaeorhizomyces","BEL","forest",10,2,6.38747941575467e-05
"Arcopilus","BEL","forest",10,0,0
"Arrhenia","BEL","forest",10,0,0
"Arthrinium","BEL","forest",10,0,0
"Arthroderma","BEL","forest",10,0,0
"Ascocoryne","BEL","forest",10,0,0
"Aspergillus","BEL","forest",10,0,0
"Asterostroma","BEL","forest",10,0,0
"Athelia","BEL","forest",10,0,0
"Athelopsis","BEL","forest",10,5,0.000997427339140412
"Atheniella","BEL","forest",10,0,0
"Atractospora","BEL","forest",10,0,0
"Aureobasidium","BEL","forest",10,1,6.63865785305805e-06
"Auricularia","BEL","forest",10,0,0
"Bandoniozyma","BEL","forest",10,1,1.79552958022763e-06
"Bannoa","BEL","forest",10,0,0
"Basidiobolus","BEL","forest",10,1,5.12344951609019e-06
"Basidiodendron","BEL","forest",10,1,0.00047033266557708
"Beauveria","BEL","forest",10,3,9.72103446106513e-05
"Bimuria","BEL","forest",10,0,0
"Bjerkandera","BEL","forest",10,7,0.00033670615699945
"Blastenia","BEL","forest",10,0,0
"Botryobasidium","BEL","forest",10,0,0
"Botrytis","BEL","forest",10,5,0.000105412619030836
"Brocchiosphaera","BEL","forest",10,0,0
"Brunneochlamydosporium","BEL","forest",10,0,0
"Bryochiton","BEL","forest",10,2,2.57979909637348e-05
"Cadophora","BEL","forest",10,0,0
"Calophoma","BEL","forest",10,2,1.33842890185715e-05
"Calycina","BEL","forest",10,0,0
"Calyptrozyma","BEL","forest",10,0,0
"Camarophyllopsis","BEL","forest",10,0,0
"Camposporium","BEL","forest",10,0,0
"Camptophora","BEL","forest",10,0,0
"Candida","BEL","forest",10,2,0.000130301570514004
"Capnobotryella","BEL","forest",10,2,0.00155414231661909
"Capronia","BEL","forest",10,9,0.011685506244526
"Carcinomyces","BEL","forest",10,0,0
"Carlosrosaea","BEL","forest",10,2,9.2682063633071e-06
"Catenulostroma","BEL","forest",10,0,0
"Cephalotheca","BEL","forest",10,5,0.00337926420103478
"Ceratobasidium","BEL","forest",10,1,0.00010025290135197
"Ceriporia","BEL","forest",10,1,1.59675903537506e-05
"Chaetocapnodium","BEL","forest",10,1,1.39684783614807e-05
"Chaetosphaeria","BEL","forest",10,0,0
"Chalara","BEL","forest",10,2,6.69219612169307e-05
"Chloridium","BEL","forest",10,7,0.0023191473150018
"Chromocyphella","BEL","forest",10,0,0
"Cladia","BEL","forest",10,0,0
"Cladophialophora","BEL","forest",10,8,0.000518811981284579
"Cladosporium","BEL","forest",10,4,0.000450452050695093
"Clathrosphaerina","BEL","forest",10,0,0
"Clathrus","BEL","forest",10,3,0.000219136322334399
"Clavaria","BEL","forest",10,2,3.15759658080193e-05
"Clavulinopsis","BEL","forest",10,0,0
"Clitopilus","BEL","forest",10,0,0
