"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Gyoerffyella","Helotiales",8,46851,22,14,4,4,"","higher in forest","higher in paramo",TRUE,"",5.45342295032805,2,0.0654341179624735,0.0381586081122838,0.00137018841573816,1.0626855083156,0.0543364688112336,"estimated",0.0041387914496733,0.000211688611861328,0.0809188293752431,0.000297451055352931,"estimated",0.108462851619081,0.00387514821121344,3.03580393320208,0.191307786765198,"estimated",0.257062606281146,0.277719729479639,0.013087846435529,0.502019576478207,TRUE
"Oidiodendron","Helotiales",14,130774,26,17,8,1,"","forest only","forest only",TRUE,"",11.5620193003571,2,0.00308559845995189,0.0128616101824414,0.000250951426218584,0.659175438759992,0.0302000472340279,"estimated",6.33389665831932e-05,2.04125567092608e-07,0.0196537099441678,0.000958968423480234,"estimated",0.0049246529543916,2.79162497840167e-05,0.868748736267697,0.0440856596439581,"estimated",0.0424269788243384,0.17365027159566,0.0140648702110434,0.277109860619165,TRUE
"Capnobotryella","Mycosphaerellales",5,41523,12,9,2,1,"","forest only","higher in forest",TRUE,"",11.6222116783965,2,0.00299411722873164,4.51430816678202e-05,1.80748238488002e-07,0.0112747866287104,0.000381791644974738,"estimated",3.11884567592729e-05,7.34046568654445e-08,0.0132514730885276,0.000778757781269471,"estimated",0.690880099607938,0.0103738375030197,46.0114506223307,0.862950676836911,"estimated",0.0424269788243384,0.00942852065317626,0.0140648702110434,0.917672211091493,FALSE
"Clavaria","Agaricales",17,11993,14,7,5,2,"","forest only","forest only",TRUE,"",3.68670445268367,2,0.158285925500474,0.177124256783908,0.00400909191222589,7.8254634785445,0.370506003053318,"estimated",0.0001087366126259,1.16033681937997e-07,0.10189843783181,0.00894628538930195,"estimated",0.000613900177199097,8.52576015814934e-07,0.442040850990686,0.027583936623927,"estimated",0.43081603960823,0.761939614412786,0.0871755966127666,0.21362546289208,FALSE
"Leptobacillium","Hypocreales",15,5566,25,12,9,4,"","higher in forest","forest only",TRUE,"",4.62372317423296,2,0.0990766399811588,0.393193609037261,0.0306831628464413,5.03863356465148,0.473189558517679,"estimated",0.0397182125990257,0.00342213502883098,0.460980177220037,0.00990631779690529,"estimated",0.101014390076879,0.00551414664583762,1.85049612532636,0.122310861954816,"estimated",0.341956473511913,0.761939614412786,0.0871755966127666,0.448473160500992,FALSE
"Basidiodendron","Auriculariales",12,7657,11,5,5,1,"","higher in forest","forest only",TRUE,"",4.61563256688959,2,0.0994782468398292,0.0430626187179617,0.000406362530927236,4.56338611391462,0.186198238094509,"estimated",0.00274157720003044,2.39463306321162e-05,0.313878800856701,0.0147258407305576,"estimated",0.0636648973437118,0.000189591249743169,21.3787248054753,0.353385193406335,"estimated",0.341956473511913,0.598004863826854,0.0989735944577356,0.703562411249124,FALSE
"Cladosporium","Cladosporiales",3,4300,13,10,2,1,"","higher in forest","forest only",TRUE,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",7.90512535837252,2,0.0192054213238733,0.00490814540993326,6.48110709037678e-05,0.37169407987129,0.0160298780915127,"estimated",0.00324809866188082,3.10394541767997e-05,0.339894666227656,0.0157457991182761,"estimated",0.661777186818307,0.0218827096905042,20.0134741623519,0.812398120752179,"estimated",0.117366463645892,0.105339198887084,0.0989735944577356,0.908437519734228,FALSE
"Pezicula","Helotiales",5,179213,24,12,4,8,"","higher in forest","paramo only",TRUE,"",9.78646684909916,2,0.0074971417989365,0.0987550727772108,0.000556855662923956,17.5136306381857,0.380869575112774,"estimated",858.66614956696,2.19019345594939,336640.379601785,0.0266033054682499,"estimated",8694.90675688216,22.7452814669923,3323828.00452863,0.00279147157954465,"estimated",0.0687237998235846,0.761939614412786,0.146318180075375,0.0614123747499824,TRUE
"Serendipita","Sebacinales",62,710210,46,22,14,10,"","higher in forest","higher in forest",TRUE,"",4.4096838748701,2,0.110267953162612,0.621714884130993,0.0990071409215296,3.9040557433768,0.612149681955526,"estimated",0.119284725376077,0.0160757440629358,0.885112729609323,0.0375888193129975,"estimated",0.191864033531717,0.0222145039430629,1.65710688194572,0.133401146117768,"estimated",0.355382085530548,0.85478460434764,0.183767561085765,0.451511571475522,TRUE
"Oliveonia","Cantharellales",7,10298,10,7,1,2,"","forest only","paramo only",TRUE,"",4.30304639673304,2,0.116306864355452,1.67721512815712e-05,2.45009803062081e-09,0.114813797283301,0.0146740689950676,"estimated",0.000125511127007574,1.90115617780919e-08,0.82860330921705,0.0452995406591973,"estimated",7.48330520637993,0.0258763878294587,2164.12959880283,0.486377026932309,"estimated",0.355382085530548,0.105339198887084,0.199317978900468,0.742007646533198,FALSE
"Coniochaeta","Coniochaetales",9,106588,10,4,2,4,"","higher in paramo","higher in paramo",TRUE,"",3.05506176487049,2,0.21707097993851,0.0471310963638075,8.11121249162654e-05,27.3860442781849,0.346864919936447,"estimated",301.634648707902,0.819834985090594,110977.773522418,0.0582170252388638,"estimated",6399.90732189991,2.85539801389247,14344344.8267561,0.0259795221252193,"estimated",0.498256866841649,0.761939614412786,0.232868100955455,0.21362546289208,TRUE
"Calyptrozyma","Eurotiomycetidae_ord_Incertae_sedis",9,24935,13,5,4,4,"","forest only","higher in forest",TRUE,"",2.25354431689584,2,0.324077641237604,0.00420699998540411,2.83751766851259e-07,62.3744094128153,0.264211358382253,"estimated",0.000508229430202531,7.63787393058865e-08,3.38179388755744,0.0912791135502856,"estimated",0.120805664836177,6.53275123347655e-06,2233.97587554306,0.673297784192107,"estimated",0.532050447510957,0.759607655348979,0.325149436715989,0.779607960643493,FALSE
"Exophiala","Chaetothyriales",14,3842,13,8,3,2,"","higher in forest","forest only",TRUE,"",2.03185607543821,2,0.362066262720117,0.0588156393728919,0.000202838693394369,17.0543370052003,0.327355904986583,"estimated",0.00590871590721885,1.40273920557132e-05,2.48891052118284,0.096066879029724,"estimated",0.100461645409608,0.000676396854108678,14.9210365735738,0.367771260425679,"estimated",0.532050447510957,0.761939614412786,0.325149436715989,0.703562411249124,FALSE
"Trichoderma","Hypocreales",12,47001,20,11,2,7,"","higher in paramo","higher in paramo",TRUE,"",10.9335178101674,2,0.00422490330390892,0.0112880007537445,0.000390486174749968,0.326308507844416,0.00898991999174374,"estimated",8.87931179267376,0.63250491887307,124.650695289434,0.105206378448831,"estimated",786.615095656181,15.0588171034987,41089.7685031598,0.00095432224987692,"estimated",0.0464739363429981,0.0827072639240424,0.330648617982042,0.0419901789945845,FALSE
"Mycena","Agaricales",20,13497,19,9,7,3,"","higher in forest","forest only",TRUE,"",1.37844047179709,2,0.501967332605668,0.611998747474829,0.0500812567871466,7.47869544294037,0.700620973159196,"estimated",0.0372286822103677,0.000567266420742054,2.44325193320543,0.123197395647591,"estimated",0.0608313045802416,0.00105932346360148,3.49321783579999,0.175510214620925,"estimated",0.627459165757085,0.861151234490577,0.338792838030877,0.502019576478207,FALSE
"Umbelopsis","Umbelopsidales",20,3563,15,10,4,1,"","forest only","absent",TRUE,"",3.5332565570522,2,0.170908273526425,1.07307975277747,0.0177105127415428,65.0178892404362,0.973129483690953,"estimated",0.00379567065875829,3.38080639423761e-06,4.26144359355054,0.119841461336942,"estimated",0.00353717479892234,3.22720221379617e-06,3.87692023283966,0.113985400859919,"estimated",0.43081603960823,0.985697789457154,0.338792838030877,0.448473160500992,FALSE
"Archaeorhizomyces","Archaeorhizomycetales",15,22188,16,6,6,4,"","higher in forest","higher in forest",TRUE,"",2.48074284562318,2,0.289276753997709,0.334741076267825,0.00480657381147277,23.3121538409515,0.613215042249394,"estimated",0.0143018669890521,3.770099449226e-05,5.42541124252125,0.160967376958023,"estimated",0.0427251628288643,7.06310510786553e-05,25.8447171729066,0.334638162856417,"estimated",0.532050447510957,0.85478460434764,0.394933706519933,0.703562411249124,FALSE
"Microdochium","Xylariales",10,2251,20,12,6,2,"","higher in forest","absent",TRUE,"",2.00152798698775,2,0.367598491007571,1.91753347318353,0.0552641154262798,66.5338546074114,0.719013132266002,"estimated",0.0634560089475241,0.00133586812115883,3.01426840551837,0.161563789030882,"estimated",0.0330925169416589,0.000600940810304483,1.82233367871806,0.0956059129526533,"estimated",0.532050447510957,0.861151234490577,0.394933706519933,0.448473160500992,FALSE
"Luellia","Trechisporales",8,62059,11,6,3,2,"","absent","forest only",TRUE,"",2.17048048626668,2,0.337820617061426,0.0160473789398818,1.85292351010401e-07,1389.79493452326,0.476237790045425,"estimated",0.000402911825531842,4.32696889548079e-09,37.5177042115906,0.18056150289724,"estimated",0.0251076407581118,3.13016364815557e-06,201.39318428602,0.421794296016037,"estimated",0.532050447510957,0.761939614412786,0.402857419045,0.742007646533198,FALSE
"Trechispora","Trechisporales",26,5405,20,9,6,5,"","higher in forest","higher in forest",TRUE,"",1.67819808577337,2,0.432099651363523,1.02154964899523,0.0992815354606894,10.5111557805779,0.985697789457154,"estimated",0.146836481120644,0.00871278648997302,2.47463336932522,0.183117008656818,"estimated",0.143738957049291,0.00731564662137078,2.82420527438581,0.201724633378902,"estimated",0.565844781547471,0.985697789457154,0.402857419045,0.502019576478207,FALSE
"Capronia","Chaetothyriales",19,102051,21,10,6,5,"","higher in paramo","absent",TRUE,"",3.05183778589742,2,0.217421178258174,16.1942540984083,0.857884989780937,305.698163422561,0.063211043755392,"estimated",26.3232820818383,0.184826584309828,3749.00170420551,0.196132809710423,"estimated",1.62547048612912,0.0214579716757944,123.131596089174,0.82585229066748,"estimated",0.498256866841649,0.290770801274803,0.410944934631363,0.908437519734228,TRUE
"Haptocillium","Hypocreales",12,2342,17,7,4,6,"","higher in paramo","higher in forest",TRUE,"",1.46885874922424,2,0.479779155044949,2.15177776002467,0.126784778488135,36.5197430144981,0.595822226924829,"estimated",8.85073588097046,0.296224757313713,264.446247994518,0.208380705890693,"estimated",4.11322026158919,0.0540305986872126,313.12962157408,0.522315127465736,"estimated",0.613671012266795,0.85478460434764,0.416761411781386,0.742007646533198,FALSE
"Sistotrema","Cantharellales",13,3615,17,9,2,6,"","higher in forest","higher in forest",TRUE,"",6.30479303987829,2,0.0427495538488026,0.000680189666982635,4.14304772481186e-06,0.111670927732545,0.00507419673037284,"estimated",0.101927611586291,0.00219782945411196,4.7270446686609,0.24341821477598,"estimated",149.851749495767,0.641018652035053,35031.0349872849,0.0718343298062239,"estimated",0.217888164831861,0.0591847075697947,0.465669628267092,0.395088813934232,FALSE
"Athelopsis","Atheliales",35,173848,29,14,10,5,"","higher in forest","higher in forest",TRUE,"",0.936400922047369,2,0.626127996817157,0.380523494490331,0.0264174414427163,5.4811564614656,0.477752965944779,"estimated",0.131032076971547,0.00212685467993299,8.07267433805979,0.333732234311347,"estimated",0.344346877049076,0.0119458995298875,9.925980997646,0.534171891396825,"estimated",0.717438329686326,0.761939614412786,0.534309507536355,0.742007646533198,FALSE
"Hyaloscypha","Helotiales",10,152550,23,8,9,6,"","higher in paramo","forest only",TRUE,"",0.991166528160136,2,0.609215470148766,1.77560129416222,0.0923963452848149,34.1221283819403,0.703421779798291,"estimated",5.56847381525595,0.163629345346956,189.500853685155,0.340015141159498,"estimated",3.13610596791288,0.048942221505,200.954520239217,0.590233355196862,"estimated",0.712911720386854,0.861151234490577,0.534309507536355,0.742007646533198,TRUE
"Tolypocladium","Hypocreales",17,25065,24,9,6,9,"","higher in paramo","higher in paramo",TRUE,"",1.85426060680055,2,0.395687585974007,0.611752714713906,0.0302090908345829,12.3883696470404,0.748827160426589,"estimated",4.55535288930906,0.257473519664626,80.5956277490832,0.300961922463106,"estimated",7.44639587163815,0.333011902181026,166.506996038261,0.205371644922903,"estimated",0.54666113240062,0.861151234490577,0.534309507536355,0.502019576478207,FALSE
"Entoloma","Agaricales",20,6486,19,8,6,5,"","higher in forest","higher in forest",TRUE,"",1.09144597864838,2,0.579422715429839,1.93142574143024,0.0623258247468395,59.85328569356,0.707108514495941,"estimated",0.254179102403075,0.0158181237228396,4.08436659305854,0.333661309360771,"estimated",0.131601799101452,0.00246285917878459,7.03208436597895,0.317760858768518,"estimated",0.692788029318286,0.861151234490577,0.534309507536355,0.703562411249124,FALSE
"Piskurozyma","Filobasidiales",12,1248,13,8,3,2,"","forest only","absent",TRUE,"",2.59312400412909,2,0.273470369262893,2.42976631681823,0.0826839424624474,71.4015826836723,0.606744024409334,"estimated",0.0578174988023713,0.000189499676583025,17.640468986751,0.328766320216309,"estimated",0.0237954976995825,0.000132093250645654,4.28656050179097,0.158330889716024,"estimated",0.532050447510957,0.85478460434764,0.534309507536355,0.497611367678933,FALSE
"Leohumicola","Helotiales",13,599487,15,7,6,2,"","higher in paramo","forest only",TRUE,"",0.785475191893624,2,0.675205901107403,11.1009853597646,0.0340996385590073,3613.87630969936,0.414823497260362,"estimated",8.98444082965141,0.04908086561069,1644.63637747917,0.408824650359701,"estimated",0.80933723795506,0.000566378498702431,1156.51771075594,0.954488000625773,"estimated",0.742726491218143,0.761939614412786,0.549084898270578,0.976685395989163,TRUE
"Mortierella","Mortierellales",48,48874,39,16,11,12,"","higher in forest","higher in paramo",TRUE,"",0.791453275810227,2,0.673190695605782,1.3760502211885,0.0779425475068266,24.2937172545853,0.827489855776546,"estimated",4.05201645024164,0.143372284942133,114.518906632866,0.411813673702933,"estimated",2.94467192246944,0.152421220210877,56.8890126911678,0.474699596575655,"estimated",0.742726491218143,0.928403252822466,0.549084898270578,0.742007646533198,FALSE
"Cephalotheca","Cephalothecales",14,40862,17,11,1,5,"","higher in paramo","forest only",TRUE,"",8.41107783168144,2,0.0149127471874341,2.66250270651344e-05,7.72433955464673e-08,0.00917738094246117,0.000409935680572881,"estimated",0.089752615509656,0.000427545599984784,18.8413399438816,0.376862505362546,"estimated",3370.98682717163,4.93430181433397,2302970.6362821,0.014715681778045,"estimated",0.116205102797153,0.00942852065317626,0.549084898270578,0.21362546289208,FALSE
"Ilyonectria","Hypocreales",12,40711,25,19,3,3,"","higher in forest","forest only",TRUE,"",2.6095952110262,2,0.271227424426158,0.0547285099072866,0.00161648479844707,1.85291553595148,0.105931246603804,"estimated",0.180332671842482,0.00396362722342864,8.20457391694816,0.379171905885806,"estimated",3.29504077761255,0.0485389197265267,223.682228349964,0.579508778773285,"estimated",0.532050447510957,0.442985213070454,0.549084898270578,0.742007646533198,FALSE
"Dissophora","Mortierellales",8,17280,15,12,1,2,"","higher in forest","forest only",TRUE,"",2.02640645311305,2,0.363054170233846,0.00933976399014656,2.37783839316773e-08,3668.5079878549,0.477014967155986,"estimated",0.210892163334742,0.00523663529289062,8.49314532489755,0.409129155611235,"estimated",22.5800313109874,3.82099855805906e-05,13343575.1481718,0.645722753204735,"estimated",0.532050447510957,0.761939614412786,0.549084898270578,0.76788651732455,FALSE
"Sclerococcum","Sclerococcales",7,293718,23,8,11,4,"","higher in paramo","forest only",TRUE,"",3.51672966824356,2,0.172326415843292,106.087442824553,0.0916298598556188,122826.178527245,0.195001586030496,"estimated",0.0488914531282883,4.51188609620503e-06,529.794887997321,0.524311970614253,"estimated",0.000460859945593608,3.15944351945507e-08,6.72244615688448,0.116310667479042,"estimated",0.43081603960823,0.598004863826854,0.647633521851734,0.448473160500992,TRUE
"Chloridium","Chaetosphaeriales",13,37629,24,14,7,3,"","higher in forest","higher in paramo",TRUE,"",0.382666673612675,2,0.82585725364476,0.608410100418133,0.0309771816222105,11.9495328789175,0.743606047400628,"estimated",0.293788769146701,0.0064110499094711,13.462980649897,0.530217993685754,"estimated",0.48287950667616,0.0234185915625424,9.9567310589577,0.637293205760458,"estimated",0.841150906490033,0.861151234490577,0.647633521851734,0.76788651732455,FALSE
"Arachnopeziza","Helotiales",10,32036,17,11,3,3,"","higher in forest","absent",TRUE,"",0.570082097038096,2,0.751983385881496,0.247605959787548,0.00512998518859933,11.9510503575259,0.480353235173278,"estimated",0.262675488286176,0.00347749860344403,19.8413917630468,0.544600916102595,"estimated",1.0608609280308,0.00775833087105791,145.060313529644,0.981215501461558,"estimated",0.801902729188282,0.761939614412786,0.647633521851734,0.981215501461558,FALSE
"Sympodiella","Venturiales",8,2288,16,6,5,5,"","higher in forest","paramo only",TRUE,"",0.553714860847435,2,0.758162580323466,1.28943617040127,0.0354151225724168,46.9473353971686,0.889768334474454,"estimated",5.87601121303656,0.0256894552186853,1344.0342538139,0.522888057751683,"estimated",4.55703922995116,0.0761374422161935,272.751565311936,0.46755209370146,"estimated",0.801902729188282,0.930212349677838,0.647633521851734,0.742007646533198,FALSE
"Linnemannia","Mortierellales",10,10075,18,13,3,2,"","forest only","paramo only",TRUE,"",2.07985636633509,2,0.353480066865975,0.0807414611659258,0.00277156193064621,2.35216953989865,0.143528111793235,"estimated",0.272793649813544,0.00192950832021709,38.5675327744748,0.607107215180298,"estimated",3.37860680094637,0.0897844735757418,127.137615901612,0.510699733994746,"estimated",0.532050447510957,0.550191095207402,0.702966249156135,0.742007646533198,FALSE
"Paraphaeosphaeria","Pleosporales",4,8417,13,10,2,1,"","forest only","higher in paramo",TRUE,"",1.83193122957738,2,0.400130067976702,0.0108306834851118,1.60040002996571e-05,7.32964899764377,0.173536897247392,"estimated",0.181441115763883,0.00018575568932406,177.226757411509,0.627011836254533,"estimated",16.7525083724678,0.00331196646417692,84737.1311893246,0.517165809336718,"estimated",0.54666113240062,0.598004863826854,0.707397969107679,0.742007646533198,FALSE
"Cladophialophora","Chaetothyriales",87,60934,48,21,14,13,"","higher in forest","higher in paramo",TRUE,"",1.21941845882964,2,0.543508882496374,0.489300290762254,0.128237046256528,1.86697043895643,0.295476036491769,"estimated",0.81206019745113,0.119554862462938,5.51580881529427,0.831342566585004,"estimated",1.65963563231501,0.312118130035026,8.82483318652632,0.55236928623139,"estimated",0.664288634162235,0.761939614412786,0.914476823243505,0.742007646533198,FALSE
"Penicillium","Eurotiales",25,9496,31,18,8,5,"","higher in forest","higher in paramo",TRUE,"",0.394936499075413,2,0.820806201190346,0.544066613370865,0.0415855184607531,7.11806635437778,0.642674056680534,"estimated",1.18000542573807,0.0549942030050801,25.3192650985899,0.915734922622268,"estimated",2.16886204140911,0.14205912090741,33.1127105716161,0.577731426536175,"estimated",0.841150906490033,0.861151234490577,0.982739916960483,0.742007646533198,FALSE
"Lachnum","Helotiales",6,288484,16,6,7,3,"","higher in forest","higher in paramo",TRUE,"",5.63598295153713,2,0.059725782999984,1015.68595108729,7.94968779336946,129768.360475303,0.00514649631041693,"estimated",1.15619384742608,0.00540473465164311,247.335771131619,0.95772020407003,"estimated",0.00113833793426835,2.58072791907707e-06,0.502111533345115,0.0291307449398291,"estimated",0.252686004999932,0.0591847075697947,0.987531110183482,0.21362546289208,TRUE
"Podila","Mortierellales",9,38703,13,11,1,1,"","higher in paramo","forest only",TRUE,"",2.61093967529627,2,0.271045157905127,0.00304594510578748,3.57577914798137e-08,259.46181806861,0.317166954172646,"estimated",1.07294532650794,0.0150628347281448,76.4272923690919,0.974194194054884,"estimated",352.25366487048,0.00224286420633292,55323297.8012342,0.336712960702624,"estimated",0.532050447510957,0.761939614412786,0.987531110183482,0.703562411249124,FALSE
"Metapochonia","Hypocreales",6,4588,17,9,4,4,"","higher in forest","higher in paramo",TRUE,"",0.0286413156123899,2,0.985781395078185,0.744239163100557,0.0133077989869073,41.621603424996,0.885598279674932,"estimated",1.0279161590826,0.0325317218364394,32.4794253257017,0.987531110183482,"estimated",1.38116375762897,0.0239480893729173,79.6561803191311,0.875959837860062,"estimated",0.985781395078185,0.930212349677838,0.987531110183482,0.917672211091493,FALSE
"Cryptodiscus","Ostropales",3,160772,12,5,6,1,"","forest only","absent",TRUE,"",3.695856930351,2,0.157563226184941,0.297572404594265,NA,NA,NA,"estimated",0.00141104304182421,NA,NA,NA,"estimated",0.00474184776558212,NA,NA,NA,"estimated",0.43081603960823,NA,NA,NA,FALSE
"Teratosphaeria","Mycosphaerellales",20,109824,20,11,6,3,"","higher in forest","forest only",TRUE,"",2.0448189824437,2,0.359727135733524,3.97331927142999,NA,NA,NA,"estimated",0.0764299489312199,NA,NA,NA,"estimated",0.0192357934789652,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Pezoloma","Helotiales",2,87587,11,5,5,1,"","forest only","higher in paramo",TRUE,"",2.3295367782008,2,0.31199491508798,0.132590131846979,NA,NA,NA,"estimated",0.00202718648772509,NA,NA,NA,"estimated",0.0152891203854043,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,TRUE
"Acephala","Helotiales",1,74622,10,0,5,5,"forest","absent","paramo only",TRUE,"",15.0203417312968,2,0.000547487533909227,NA,NA,NA,NA,"not estimable: absent from forest",NA,NA,NA,NA,"not estimable: absent from forest",2.00172802816987,NA,NA,NA,"estimated",0.0286565441527247,NA,NA,NA,TRUE
"Tetracladium","Helotiales",9,17225,10,7,3,0,"paramo","forest only","forest only",TRUE,"",6.19537548497979,2,0.0451534882715548,3.39930022094478,2.22634445590303e-06,5190230.99120049,0.866249159593927,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.217888164831861,0.930212349677838,NA,NA,FALSE
"Knufia","Chaetothyriales",8,10926,15,9,4,2,"","forest only","higher in forest",TRUE,"",2.80292424704464,2,0.24623667217981,0.0564369394076515,NA,NA,NA,"estimated",0.00543937305786855,NA,NA,NA,"estimated",0.0963796604663346,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Pestalotiopsis","Amphisphaeriales",7,8408,26,16,7,3,"","forest only","higher in paramo",TRUE,"",1.79537457813763,2,0.407511025971371,2.58851621976628,NA,NA,NA,"estimated",0.64366844133545,NA,NA,NA,"estimated",0.248663089850589,NA,NA,NA,"estimated",0.54666113240062,NA,NA,NA,FALSE
"Apiotrichum","Trichosporonales",3,6637,11,8,2,1,"","absent","forest only",TRUE,"",2.39685824094013,2,0.301667723551728,0.054003605421893,NA,NA,NA,"estimated",0.0433525729385066,NA,NA,NA,"estimated",0.802771826062774,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Conlarium","Atractosporales",12,3950,12,9,0,3,"subparamo","higher in forest","forest only",TRUE,"",13.7331188987582,2,0.00104205615100817,NA,NA,NA,NA,"not estimable: absent from subparamo",0.0431085403058533,NA,NA,NA,"estimated",NA,NA,NA,NA,"not estimable: absent from subparamo",0.0286565441527247,NA,NA,NA,FALSE
"Clavulinopsis","Agaricales",10,2094,10,2,6,2,"","paramo only","forest only",TRUE,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",NA,2,NA,19.6614740299234,NA,NA,NA,"estimated",3.00744803627151,NA,NA,NA,"estimated",0.152961473371446,NA,NA,NA,"estimated",NA,NA,NA,NA,FALSE
"Cyphellophora","Chaetothyriales",8,1897,11,10,1,0,"paramo","forest only","forest only",TRUE,"",8.16058033032834,2,0.0169025604068586,0.0914327733789565,0.000215629614010112,38.7699624939994,0.43834574991967,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.116205102797153,0.761939614412786,NA,NA,FALSE
"Pochonia","Hypocreales",6,1043,10,7,3,0,"paramo","forest only","forest only",TRUE,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",6.09239977725645,2,0.0475392359633152,0.0722254509147941,NA,NA,NA,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.217888164831861,NA,NA,NA,FALSE
