"fraction","n_OTUs","share_of_Helotiales_reads","plants_present","mean_prop","odds_change_pct_per_100m","p_elevation","p_elevation_x_site","slope_BEL","slope_DOM","slope_MA","slope_NV","note"
"Helotiales (all)",436,1,60,0.432825558231613,10.589517632071,0.0165799468441105,0.0601400738045029,0.0278106312941659,0.0565556645345922,0.00960521921911095,0.000119213100205684,""
"Helotiales, genus assigned",139,0.278193234409419,57,0.112353757868604,4.57894439299213,0.355300596982415,0.060034509849309,0.0512571290400565,0.00279858020937773,0.0151408950005782,-0.00641585495073294,""
"Helotiales, genus unassigned",297,0.721806765590581,60,0.320471800363009,11.0672275103597,0.0186168177072177,0.110310410602704,-0.0030238833665166,0.0463213604507828,0.001362372622431,0.0118444551804799,""
"  family: (family unassigned)",265,0.557767734960529,60,0.269962394047627,8.54000686186971,0.068060171385482,0.0627341108106319,-0.0126970912106437,0.0410927109888455,-0.0219042447344648,0.0120230174613063,""
"  family: Dermateaceae",15,0.0442636629119733,32,0.0206681480405494,-3.4586040002163,0.451800270120439,0.877473103522264,-0.00140684246418621,-5.03267903910753e-05,0.00169056214204777,-0.00185234944552359,""
"  family: Discinellaceae",14,0.0282910382465761,32,0.0211903329587382,-5.03595339218317,0.288451326541934,0.738236645650191,-0.000380548736929942,0.000195355534253761,1.04260715096949e-05,-0.00449004825773747,""
"  family: Hyaloscyphaceae",43,0.10020096456498,42,0.0387631793503318,11.1049105310798,0.0211088020356683,0.0177633214484337,0.0598232778088388,-0.000266850525744378,0.0106189408132424,0.000536382978936434,""
"  family: Lachnaceae",13,0.0480414071415469,23,0.0192600716134089,0.681285863620817,0.890403676664129,0.908634816608225,0.000971629441198107,0.000475585230066855,-0.00479022250331562,0.000256326807499097,""
"  family: Mollisiaceae",20,0.141545446724099,22,0.027849338062426,7.65636902671725,0.138079745621474,0.469383996917069,0.0217371626186402,0.00284133519869245,0.00147618836631169,0.000810404915747576,""
"  family: Myxotrichaceae",16,0.0214002912200562,26,0.00949270833515715,-0.690358006977332,0.859960967313227,0.592246973910162,0.00225263421880229,-0.00130154695038898,-9.196561155278e-05,-0.000319241052924246,""
"  family: Pezizellaceae",17,0.037322268919158,30,0.0101491276981572,2.6312230620916,0.517859581108728,0.465597070436225,-0.000985405989130994,-0.000200132276850118,0.002278960000337,0.00117537917201327,""
"  family: Vibrisseaceae",1,0.0121133907656945,10,0.0116197063526942,10.8781994514398,0.0110180831364816,0.0235273362926885,0,0.00559652759261997,0,0,""
