"level","basis","diversity","q","pair","est_1","lcl_1","ucl_1","est_2","lcl_2","ucl_2","ratio","ci_overlap","z","p_z","p_holm"
"plant","asymptotic","PD",0,"Forest vs Páramo",326.866107390963,306.588565813369,347.143648968556,143.211564041528,130.173089986653,156.250038096403,2.28240023477559,FALSE,14.9311841320815,2.06565072417566e-50,6.19695217252697e-50
"root_sample","asymptotic","PD",0,"Forest vs Páramo",283.343007728569,267.56801182737,299.118003629768,134.075915657309,121.492860490759,146.658970823858,2.11330279819069,FALSE,14.4982949979344,1.24196645418557e-47,3.72589936255672e-47
"plant","asymptotic","PD",0,"Forest vs Subpáramo",326.866107390963,306.588565813369,347.143648968556,246.756510598308,227.149119226473,266.363901970144,1.32465038753552,FALSE,5.56643925606441,2.59997356478798e-08,2.59997356478798e-08
"root_sample","asymptotic","PD",0,"Forest vs Subpáramo",283.343007728569,267.56801182737,299.118003629768,213.016064767066,199.086393943684,226.945735590448,1.33014854085492,FALSE,6.5497352299502,5.76391835443061e-11,5.76391835443061e-11
"plant","asymptotic","PD",0,"Subpáramo vs Páramo",246.756510598308,227.149119226473,266.363901970144,143.211564041528,130.173089986653,156.250038096403,1.7230208485591,FALSE,8.61876775047087,6.76784681167329e-18,1.35356936233466e-17
"root_sample","asymptotic","PD",0,"Subpáramo vs Páramo",213.016064767066,199.086393943684,226.945735590448,134.075915657309,121.492860490759,146.658970823858,1.58877203055263,FALSE,8.24227655458153,1.68964463706591e-16,3.37928927413183e-16
"plant","asymptotic","PD",1,"Forest vs Páramo",148.34462549473,144.38164254863,152.30760844083,80.0935337546739,76.4204133055859,83.7666542037619,1.85214234583667,FALSE,24.7564417920309,2.64264507121779e-135,7.92793521365337e-135
"root_sample","asymptotic","PD",1,"Forest vs Páramo",115.843209497294,113.100988145497,118.585430849091,60.89973955258,58.2801325909704,63.5193465141896,1.9021954830739,FALSE,28.395710659174,2.28440066956242e-177,6.85320200868726e-177
"plant","asymptotic","PD",1,"Forest vs Subpáramo",148.34462549473,144.38164254863,152.30760844083,130.399539705305,125.16119517606,135.637884234549,1.13761617433605,FALSE,5.35458652828223,8.57522777264733e-08,8.57522777264733e-08
"root_sample","asymptotic","PD",1,"Forest vs Subpáramo",115.843209497294,113.100988145497,118.585430849091,98.3600427852062,94.705072029067,102.015013541345,1.17774663590038,FALSE,7.49924626538358,6.41858389433224e-14,6.41858389433224e-14
"plant","asymptotic","PD",1,"Subpáramo vs Páramo",130.399539705305,125.16119517606,135.637884234549,80.0935337546739,76.4204133055859,83.7666542037619,1.62809072833168,FALSE,15.4111869716961,1.37659897685346e-53,2.75319795370693e-53
"root_sample","asymptotic","PD",1,"Subpáramo vs Páramo",98.3600427852062,94.705072029067,102.015013541345,60.89973955258,58.2801325909704,63.5193465141896,1.61511434216042,FALSE,16.3273775059575,6.30363333084499e-60,1.260726666169e-59
"plant","asymptotic","PD",2,"Forest vs Páramo",77.8416221519778,76.2440607530162,79.4391835509394,43.7014428133838,42.0932721908254,45.3096134359422,1.78121400898321,FALSE,29.5188404304174,1.65007073757771e-191,4.95021221273312e-191
"root_sample","asymptotic","PD",2,"Forest vs Páramo",56.6965346796474,55.591009738667,57.8020596206277,29.3555603999171,28.3365988868469,30.3745219129873,1.93137292925968,FALSE,35.64206841433,3.12686779629467e-278,9.380603388884e-278
"plant","asymptotic","PD",2,"Forest vs Subpáramo",77.8416221519778,76.2440607530162,79.4391835509394,63.5910811057557,61.6817624948327,65.5003997166786,1.22409653678513,FALSE,11.2192588946411,3.28007657341784e-29,3.28007657341784e-29
"root_sample","asymptotic","PD",2,"Forest vs Subpáramo",56.6965346796474,55.591009738667,57.8020596206277,43.2328704986125,41.78616136807,44.6795796291551,1.31142193487862,FALSE,14.4930434021189,1.34068447737345e-47,1.34068447737345e-47
"plant","asymptotic","PD",2,"Subpáramo vs Páramo",63.5910811057557,61.6817624948327,65.5003997166786,43.7014428133838,42.0932721908254,45.3096134359422,1.45512543778716,FALSE,15.6160556542583,5.66004922604478e-55,1.13200984520896e-54
"root_sample","asymptotic","PD",2,"Subpáramo vs Páramo",43.2328704986125,41.78616136807,44.6795796291551,29.3555603999171,28.3365988868469,30.3745219129873,1.47273190869606,FALSE,15.3707309674566,2.57250329173611e-53,5.14500658347221e-53
"plant","asymptotic","TD",0,"Forest vs Páramo",6172.22653658537,5782.60070495875,6561.85236821198,2407.2455399061,2151.96158388172,2662.52949593049,2.56402034369378,FALSE,15.8417385549604,1.6032611010174e-56,4.80978330305221e-56
"root_sample","asymptotic","TD",0,"Forest vs Páramo",4581.98293333333,4354.70302585956,4809.2628408071,1945.70170682731,1757.9842035918,2133.41921006282,2.35492568940836,FALSE,17.5285055220982,8.68215764747688e-69,2.60464729424306e-68
"plant","asymptotic","TD",0,"Forest vs Subpáramo",6172.22653658537,5782.60070495875,6561.85236821198,4695.44468325792,4297.66835136511,5093.22101515073,1.31451373681242,FALSE,5.19827878404765,2.01142308937883e-07,2.01142308937883e-07
"root_sample","asymptotic","TD",0,"Forest vs Subpáramo",4581.98293333333,4354.70302585956,4809.2628408071,3059.82018348624,2848.47497459955,3271.16539237292,1.49746804013588,FALSE,9.61267557106548,7.06878381050204e-22,1.41375676210041e-21
"plant","asymptotic","TD",0,"Subpáramo vs Páramo",4695.44468325792,4297.66835136511,5093.22101515073,2407.2455399061,2151.96158388172,2662.52949593049,1.95054663324501,FALSE,9.48864726757992,2.3405171782814e-21,4.6810343565628e-21
"root_sample","asymptotic","TD",0,"Subpáramo vs Páramo",3059.82018348624,2848.47497459955,3271.16539237292,1945.70170682731,1757.9842035918,2133.41921006282,1.57260497472433,FALSE,7.72490982096675,1.11932556943741e-14,1.11932556943741e-14
"plant","asymptotic","TD",1,"Forest vs Páramo",4148.34918664815,3968.18561264556,4328.51276065074,1859.85817371312,1711.5358766825,2008.18047074374,2.23046533616387,FALSE,19.2205050361284,2.49331427733526e-82,7.47994283200579e-82
"root_sample","asymptotic","TD",1,"Forest vs Páramo",2927.46299751669,2826.93989014704,3027.98610488633,1316.3249077521,1229.22319994804,1403.42661555616,2.22396687951149,FALSE,23.7409048948684,1.36412288830932e-124,4.09236866492796e-124
"plant","asymptotic","TD",1,"Forest vs Subpáramo",4148.34918664815,3968.18561264556,4328.51276065074,3825.08649253414,3575.67288449625,4074.50010057203,1.08451121164056,TRUE,2.05923791106136,0.0394714530839028,0.0394714530839028
"root_sample","asymptotic","TD",1,"Forest vs Subpáramo",2927.46299751669,2826.93989014704,3027.98610488633,2341.85986846016,2226.02018825354,2457.69954866678,1.25005899667326,FALSE,7.48339066390594,7.24291636308343e-14,7.24291636308343e-14
"plant","asymptotic","TD",1,"Subpáramo vs Páramo",3825.08649253414,3575.67288449625,4074.50010057203,1859.85817371312,1711.5358766825,2008.18047074374,2.05665493562745,FALSE,13.2735749157751,3.29479595346271e-40,6.58959190692542e-40
"root_sample","asymptotic","TD",1,"Subpáramo vs Páramo",2341.85986846016,2226.02018825354,2457.69954866678,1316.3249077521,1229.22319994804,1403.42661555616,1.77908953531797,FALSE,13.8685688230258,9.82169584968638e-44,1.96433916993728e-43
"plant","asymptotic","TD",2,"Forest vs Páramo",2101.86293487335,1990.76288691122,2212.96298283549,1051.25776653652,952.45183803709,1150.06369503594,1.99937922151878,FALSE,13.8495030345563,1.28095242558729e-43,3.84285727676187e-43
"root_sample","asymptotic","TD",2,"Forest vs Páramo",1467.72647809565,1393.63170791971,1541.82124827159,661.004535298599,597.76789289102,724.241177706179,2.22044842314527,FALSE,16.2316939331826,3.01035871666412e-59,9.03107614999238e-59
"plant","asymptotic","TD",2,"Forest vs Subpáramo",2101.86293487335,1990.76288691122,2212.96298283549,2128.87655181536,1945.76344840332,2311.9896552274,0.987310857964512,TRUE,-0.247200461860756,0.804753087881418,0.804753087881418
"root_sample","asymptotic","TD",2,"Forest vs Subpáramo",1467.72647809565,1393.63170791971,1541.82124827159,1247.07491576544,1145.66272579046,1348.48710574042,1.17693529036688,FALSE,3.44332287369542,0.000574612856000777,0.000574612856000777
"plant","asymptotic","TD",2,"Subpáramo vs Páramo",2128.87655181536,1945.76344840332,2311.9896552274,1051.25776653652,952.45183803709,1150.06369503594,2.02507569464069,FALSE,10.1508942347747,3.28340894301879e-24,6.56681788603757e-24
"root_sample","asymptotic","TD",2,"Subpáramo vs Páramo",1247.07491576544,1145.66272579046,1348.48710574042,661.004535298599,597.76789289102,724.241177706179,1.88663594449029,FALSE,9.61133037470917,7.16175847215683e-22,1.43235169443137e-21
"plant","coverage_standardised","PD",0,"Forest vs Páramo",195.707257697399,188.808690913138,202.605824481659,102.30804055965,96.1688619706326,108.447219148668,1.91292157123558,FALSE,19.8229552157373,1.88695705904714e-87,5.6608711771414e-87
"root_sample","coverage_standardised","PD",0,"Forest vs Páramo",213.345208506098,206.282918666389,220.407498345807,109.895789226154,103.272174194043,116.519404258265,1.9413410650981,FALSE,20.9408664462603,2.27288235036964e-97,6.81864705110892e-97
"plant","coverage_standardised","PD",0,"Forest vs Subpáramo",195.707257697399,188.808690913138,202.605824481659,188.822269243042,179.46348355728,198.181054928804,1.03646279902237,TRUE,1.16064593772131,0.24578591574618,0.24578591574618
"root_sample","coverage_standardised","PD",0,"Forest vs Subpáramo",213.345208506098,206.282918666389,220.407498345807,175.864237464341,167.496156279285,184.232318649396,1.21312446226799,FALSE,6.7088491764224,1.96165289493173e-11,1.96165289493173e-11
"plant","coverage_standardised","PD",0,"Subpáramo vs Páramo",188.822269243042,179.46348355728,198.181054928804,102.30804055965,96.1688619706326,108.447219148668,1.84562492068206,FALSE,15.1495951740396,7.62347323607638e-52,1.52469464721528e-51
"root_sample","coverage_standardised","PD",0,"Subpáramo vs Páramo",175.864237464341,167.496156279285,184.232318649396,109.895789226154,103.272174194043,116.519404258265,1.60028185522587,FALSE,12.1151307276321,8.7823992176555e-34,1.7564798435311e-33
"plant","coverage_standardised","PD",1,"Forest vs Páramo",115.492116546368,112.575718694607,118.408514398129,64.3777086314372,61.55363684535,67.2017804175245,1.79397681280583,FALSE,24.6775951949318,1.86121157162722e-134,5.58363471488167e-134
"root_sample","coverage_standardised","PD",1,"Forest vs Páramo",101.955889461486,99.6508609222067,104.260918000764,54.7415447565358,52.4909233122578,56.9921662008138,1.86249565873482,FALSE,28.7247155366111,1.87480174653671e-181,5.62440523961014e-181
"plant","coverage_standardised","PD",1,"Forest vs Subpáramo",115.492116546368,112.575718694607,118.408514398129,110.341872833483,106.236108735135,114.44763693183,1.04667533349427,TRUE,2.00437206386232,0.0450302195487972,0.0450302195487972
"root_sample","coverage_standardised","PD",1,"Forest vs Subpáramo",101.955889461486,99.6508609222067,104.260918000764,87.692992621236,84.7150339782784,90.6709512641937,1.16264579887077,FALSE,7.42328896807283,1.14247139350155e-13,1.14247139350155e-13
"plant","coverage_standardised","PD",1,"Subpáramo vs Páramo",110.341872833483,106.236108735135,114.44763693183,64.3777086314372,61.55363684535,67.2017804175245,1.71397639305852,FALSE,18.0782196980369,4.7311207477833e-73,9.46224149556661e-73
"root_sample","coverage_standardised","PD",1,"Subpáramo vs Páramo",87.692992621236,84.7150339782784,90.6709512641937,54.7415447565358,52.4909233122578,56.9921662008138,1.60194588974886,FALSE,17.3018261284424,4.55712093043934e-67,9.11424186087868e-67
"plant","coverage_standardised","PD",2,"Forest vs Páramo",71.2732532361323,69.8722897134771,72.6742167587875,39.5557966064328,38.2005635812171,40.9110296316485,1.80184092726732,FALSE,31.8927147640445,3.36927817259244e-223,1.01078345177773e-222
"root_sample","coverage_standardised","PD",2,"Forest vs Páramo",54.4849349992372,53.4047110235554,55.5651589749189,28.1830639465219,27.1728533317508,29.1932745612931,1.93325094470295,FALSE,34.8553706858763,3.53029662338933e-266,1.0590889870168e-265
"plant","coverage_standardised","PD",2,"Forest vs Subpáramo",71.2732532361323,69.8722897134771,72.6742167587875,58.7556819918442,57.1490962632359,60.3622677204525,1.21304443791539,FALSE,11.509534816359,1.18113790548722e-30,1.18113790548722e-30
