"comparison","model","logLik","k","n","AIC","AICc","BIC","dAICc","weight_AICc","dAIC","dBIC"
"per-plant TD q=0","site only",-33.8643996364689,5,60,77.7287992729377,78.8399103840489,88.2005220840483,9.93350904308301,0.00631945494419603,10.9762440858181,6.78755496137387
"per-plant TD q=0","habitat + site",-26.3762775935598,7,60,66.7525551871197,68.9064013409659,81.4129671226744,0,0.907222272034007,0,0
"per-plant TD q=0","habitat * site",-23.0539262487197,11,60,68.1078524974394,73.6078524974394,91.1456426818825,4.70145115647355,0.0864582730217969,1.35529731031971,9.73267555920813
"per-plant TD q=1","site only",-50.2435487417595,5,60,110.487097483519,111.59820859463,120.958820294629,0,0.589798165412369,0.112598307839562,0
"per-plant TD q=1","habitat + site",-48.1872495878397,7,60,110.374499175679,112.528345329526,125.034911111234,0.930136734895484,0.370447605248887,0,4.07609081660465
"per-plant TD q=1","habitat * site",-44.746168449267,11,60,111.492336898534,116.992336898534,134.530127082977,5.39412830390388,0.039754229338745,1.11783772285456,13.5713067883476
"per-plant TD q=2","site only",-51.467834465552,5,60,112.935668931104,114.046780042215,123.407391742214,0,0.789380325811106,0,0
"per-plant TD q=2","habitat + site",-50.3451604613671,7,60,114.690320922734,116.84416707658,129.350732858289,2.79738703436527,0.194913276310573,1.75465199163023,5.94334111607444
"per-plant TD q=2","habitat * site",-47.1905701235416,11,60,116.381140247083,121.881140247083,139.418930431526,7.83436020486816,0.0157063978783211,3.44547131597928,16.0115386893119
"per-plant PD q=0","site only",-22.0124693372044,5,60,54.0249386744087,55.1360497855199,64.4966614855192,10.7276900753217,0.00447991703976969,11.7704251180567,7.58173599361254
"per-plant PD q=0","habitat + site",-14.127256778176,7,60,42.254513556352,44.4083597101981,56.9149254919067,0,0.956661448946447,0,0
"per-plant PD q=0","habitat * site",-11.6576991292477,11,60,45.3153982584954,50.8153982584954,68.3531884429385,6.4070385482973,0.0388586340137833,3.06088470214345,11.4382629510318
"per-plant PD q=1","site only",2.14238192465185,5,60,5.71523615069629,6.8263472618074,16.1869589618068,6.46663260845395,0.0349144499853874,10.8555214973428,0
"per-plant PD q=1","habitat + site",5.48696182365105,7,60,3.02607635269791,5.17992250654406,17.6864882882526,4.82020785319061,0.0795283181074939,8.16636169934445,1.49952932644581
"per-plant PD q=1","habitat * site",13.5701426733233,11,60,-5.14028534664655,0.359714653353453,17.8975048377966,0,0.885557231907119,0,1.71054587598976
"per-plant PD q=2","site only",21.8158944875434,5,60,-33.6317889750867,-32.5206778639756,-23.1600661639762,19.6793683892964,5.32701369150851e-05,24.0682572781853,11.5021899048527
"per-plant PD q=2","habitat + site",26.3460757572985,7,60,-38.692151514597,-36.5383053607508,-24.0317395790422,15.6617408925213,0.000397100596200815,19.0078947386751,10.6305164897867
"per-plant PD q=2","habitat * site",39.850023126636,11,60,-57.700046253272,-52.200046253272,-34.6622560688289,0,0.999549629266884,0,0
"dist_centroid","site only",-165.187764254083,5,60,340.375528508166,341.486639619277,350.847251319276,7.19414384383566,0.0251100710218529,8.23687888657071,4.04818976212653
"dist_centroid","habitat + site",-159.069324810797,7,60,332.138649621595,334.292495775441,346.79906155715,0,0.916297344146039,0,0
"dist_centroid","habitat * site",-156.145980661358,11,60,334.291961322716,339.791961322716,357.329751507159,5.49946554727461,0.0585925848321085,2.15331170112074,10.5306899500092
"NRI_aw","site only",-107.896166756268,5,60,225.792333512535,226.903444623646,236.264056323646,0,0.748077316842086,0.645804328159159,0
"NRI_aw","habitat + site",-107.073756692452,7,60,228.147513384904,230.30135953875,242.807925320459,3.39791491510391,0.136803950109757,3.00098420052802,6.54386899681305
"NRI_aw","habitat * site",-101.573264592188,11,60,225.146529184376,230.646529184376,248.184319368819,3.74308456072973,0.115118733048157,0,11.9202630451734
"NTI_aw","site only",-106.932159971886,5,60,223.864319943771,224.975431054882,234.336042754882,0,0.790137407010314,0,0
"NTI_aw","habitat + site",-105.989921841796,7,60,225.979843683592,228.133689837438,240.640255619147,3.15825878255589,0.162890382077428,2.11552373982084,6.30421286426503
"NTI_aw","habitat * site",-101.56036622104,11,60,225.120732442079,230.620732442079,248.158522626522,5.64530138719664,0.0469722109122588,1.25641249830775,13.8224798716404
"helotiales (elevation)","site only",17.2097253937373,5,60,-24.4194507874746,-23.3083396763635,-13.9477279763641,2.99365059364581,0.11422170458186,4.86909494748848,1.37310058068996
"helotiales (elevation)","elevation + site",19.9434479651933,6,60,-27.8868959303867,-26.3019902700093,-15.3208285570541,0,0.510283591848333,1.40164980457643,0
"helotiales (elevation)","elevation * site",23.6442728674816,9,60,-29.2885457349631,-25.6885457349631,-10.4394446749642,0.613444535046213,0.375494703569807,0,4.88138388208987
"helotiales (habitat)","site only",17.2097253937373,5,60,-24.4194507874746,-23.3083396763635,-13.9477279763641,2.95125564723693,0.133661487878265,5.88018384482729,0
"helotiales (habitat)","habitat + site",21.2067207387233,7,60,-28.4134414774466,-26.2595953236005,-13.7530295418919,0,0.584606059279643,1.88619315485531,0.194698434472226
"helotiales (habitat)","habitat * site",26.149817316151,11,60,-30.2996346323019,-24.7996346323019,-7.26184444785881,1.45996069129853,0.281732452842092,0,6.68588352850531
"sebacinales (elevation)","site only",90.6069342121714,5,60,-171.213868424343,-170.102757313232,-160.742145613232,1.51957840669394,0.298435319466187,1.99337295596018,0
"sebacinales (elevation)","elevation + site",92.6036206901515,6,60,-173.207241380303,-171.622335719926,-160.64117400697,0,0.638002643973051,0,0.100971606261908
"sebacinales (elevation)","elevation * site",94.304841815171,9,60,-170.609683630342,-167.009683630342,-151.760582570343,4.61265208958369,0.0635620365607622,2.59755774996106,8.98156304288926
"sebacinales (habitat)","site only",90.6069342121714,5,60,-171.213868424343,-170.102757313232,-160.742145613232,0,0.764022768566573,0,0
"sebacinales (habitat)","habitat + site",91.8799630403503,7,60,-169.759926080701,-167.606079926854,-155.099514145146,2.4966773863772,0.219260144070568,1.45394234364215,5.64263146808634
"sebacinales (habitat)","habitat * site",94.9792124578005,11,60,-167.958424915601,-162.458424915601,-144.920634731158,7.64433239763062,0.0167170873628584,3.25544350874173,15.8215108820743
