"genus","dAICc_habitat","order","omnibus_p","omnibus_q","published_fig4C","paramo_vs_forest_q","subparamo_vs_forest_q","habitat_supported_AICc"
"Acephala",-9.78171797990947,"Helotiales",0.000547487533909227,0.0286565441527247,TRUE,NA,NA,TRUE
"Conlarium",-8.49449514737083,"Atractosporales",0.00104205615100817,0.0286565441527247,FALSE,NA,NA,TRUE
"Capnobotryella",-6.3835879270091,"Mycosphaerellales",0.00299411722873164,0.0424269788243384,FALSE,0.0140648702110434,0.00942852065317626,TRUE
"Oidiodendron",-6.32339554896964,"Helotiales",0.00308559845995189,0.0424269788243384,TRUE,0.0140648702110434,0.17365027159566,TRUE
"Trichoderma",-5.69489405877999,"Hypocreales",0.00422490330390892,0.0464739363429981,FALSE,0.330648617982042,0.0827072639240424,TRUE
"Pezicula",-4.54784309771173,"Helotiales",0.0074971417989365,0.0687237998235846,TRUE,0.146318180075375,0.761939614412786,TRUE
"Cephalotheca",-3.17245408029407,"Cephalothecales",0.0149127471874341,0.116205102797153,FALSE,0.549084898270578,0.00942852065317626,TRUE
"Cyphellophora",-2.92195657894101,"Chaetothyriales",0.0169025604068586,0.116205102797153,FALSE,NA,0.761939614412786,TRUE
"Cladosporium",-2.66650160698515,"Cladosporiales",0.0192054213238733,0.117366463645892,FALSE,0.0989735944577356,0.105339198887084,TRUE
"Sistotrema",-1.06616928849093,"Cantharellales",0.0427495538488026,0.217888164831861,FALSE,0.465669628267092,0.0591847075697947,FALSE
"Tetracladium",-0.956751733592455,"Helotiales",0.0451534882715548,0.217888164831861,FALSE,NA,0.930212349677838,FALSE
"Pochonia",-0.853776025869109,"Hypocreales",0.0475392359633152,0.217888164831861,FALSE,NA,NA,FALSE
"Lachnum",-0.397359200149765,"Helotiales",0.059725782999984,0.252686004999932,TRUE,0.987531110183482,0.0591847075697947,FALSE
"Gyoerffyella",-0.214799198940682,"Helotiales",0.0654341179624735,0.257062606281146,TRUE,0.013087846435529,0.277719729479639,FALSE
"Leptobacillium",0.614900577154401,"Hypocreales",0.0990766399811588,0.341956473511913,FALSE,0.0871755966127666,0.761939614412786,FALSE
"Basidiodendron",0.622991184497749,"Auriculariales",0.0994782468398292,0.341956473511913,FALSE,0.0989735944577356,0.598004863826854,FALSE
"Serendipita",0.828939876517097,"Sebacinales",0.110267953162612,0.355382085530548,TRUE,0.183767561085765,0.85478460434764,FALSE
"Oliveonia",0.935577354654299,"Cantharellales",0.116306864355452,0.355382085530548,FALSE,0.199317978900468,0.105339198887084,FALSE
"Cryptodiscus",1.54276682103637,"Ostropales",0.157563226184941,0.43081603960823,FALSE,NA,NA,FALSE
"Clavaria",1.55191929870369,"Agaricales",0.158285925500474,0.43081603960823,FALSE,0.0871755966127666,0.761939614412786,FALSE
"Umbelopsis",1.70536719433522,"Umbelopsidales",0.170908273526425,0.43081603960823,FALSE,0.338792838030877,0.985697789457154,FALSE
"Sclerococcum",1.72189408314387,"Sclerococcales",0.172326415843292,0.43081603960823,TRUE,0.647633521851734,0.598004863826854,FALSE
"Coniochaeta",2.18356198651685,"Coniochaetales",0.21707097993851,0.498256866841649,TRUE,0.232868100955455,0.761939614412786,FALSE
"Capronia",2.18678596548995,"Chaetothyriales",0.217421178258174,0.498256866841649,TRUE,0.410944934631363,0.290770801274803,FALSE
"Knufia",2.43569950434272,"Chaetothyriales",0.24623667217981,0.532050447510957,FALSE,NA,NA,FALSE
"Podila",2.6276840760911,"Mortierellales",0.271045157905127,0.532050447510957,FALSE,0.987531110183482,0.761939614412786,FALSE
"Ilyonectria",2.62902854036116,"Hypocreales",0.271227424426158,0.532050447510957,FALSE,0.549084898270578,0.442985213070454,FALSE
"Piskurozyma",2.64549974725824,"Filobasidiales",0.273470369262893,0.532050447510957,FALSE,0.534309507536355,0.85478460434764,FALSE
"Archaeorhizomyces",2.75788090576418,"Archaeorhizomycetales",0.289276753997709,0.532050447510957,FALSE,0.394933706519933,0.85478460434764,FALSE
"Apiotrichum",2.8417655104472,"Trichosporonales",0.301667723551728,0.532050447510957,FALSE,NA,NA,FALSE
