"metric","family","logLik","k","n","AIC","AICc","BIC","dAICc"
"TD q=0","gaussian",-301.107744732605,7,60,616.215489465209,618.369335619055,630.875901400764,0
"TD q=0","lognormal_lm",-26.3762775932114,7,60,626.92608305314,629.079929206986,81.4129671219774,10.7105935879308
"TD q=0","gamma_log",-302.574777464846,7,60,619.149554929692,621.303401083538,633.809966865247,2.93406546448296
"TD q=1","gaussian",-220.383453683249,7,60,454.766907366499,456.920753520345,469.427319302054,18.3707603625352
"TD q=1","lognormal_lm",-48.1872495872486,7,60,438.711016450696,440.864862604542,125.034911110052,2.31486944673225
"TD q=1","gamma_log",-211.198073501982,7,60,436.396147003964,438.54999315781,451.056558939518,0
"TD q=2","gaussian",-185.192742056897,7,60,384.385484113793,386.53933026764,399.045896049348,22.0887065368636
"TD q=2","lognormal_lm",-50.3451604615584,7,60,362.29677757693,364.450623730776,129.350732858671,0
"TD q=2","gamma_log",-174.195092959946,7,60,362.390185919892,364.544032073738,377.050597855446,0.093408342961709
"PD q=0","gaussian",-172.473686319932,7,60,358.947372639865,361.101218793711,373.607784575419,0
"PD q=0","lognormal_lm",-14.127256777764,7,60,370.941556371303,373.095402525149,56.9149254910827,11.9941837314379
"PD q=0","gamma_log",-175.253995506204,7,60,364.507991012407,366.661837166253,379.168402947962,5.56061837254236
"PD q=1","gaussian",-28.9341332115919,7,60,71.8682664231838,74.02211257703,86.5286783587385,33.0757682181916
"PD q=1","lognormal_lm",5.48696182373391,7,60,38.7924982049922,40.9463443588383,17.6864882880869,0
"PD q=1","gamma_log",-14.4872819118629,7,60,42.9745638237258,45.128409977572,57.6349757592806,4.18206561873367
"PD q=2","gaussian",31.1786391079196,7,60,-48.3572782158392,-46.203432061993,-33.6968662802845,16.8755726410566
"PD q=2","lognormal_lm",26.3460757572576,7,60,-65.2328508568958,-63.0790047030496,-24.0317395789604,0
"PD q=2","gamma_log",38.6787638817511,7,60,-63.3575277635022,-61.203681609656,-48.6971158279475,1.87532309339361
