"plant","site","habitat","location","dist_centroid","NRI_aw","NTI_aw","NRI_pa","NTI_pa"
"BEL_1_1","BEL","subparamo","BEL_1",20.655801704131,3.21502473059407,3.50717448686362,5.22749276190284,7.33868564441322
"BEL_1_2","BEL","subparamo","BEL_1",18.3414526823582,2.71698528782383,3.43183340321428,1.70289892752606,2.38091771660737
"BEL_1_3","BEL","subparamo","BEL_1",25.4339286126882,0.479562870448522,3.34293859022221,-2.46868332411668,2.56622078473628
"BEL_1_4","BEL","subparamo","BEL_1",28.7868573032249,2.64873855336979,4.04304246697523,0.0130937923214881,5.22572215695748
"BEL_1_5","BEL","subparamo","BEL_1",24.2685110719678,1.9052659286901,2.2919494644585,0.0592465522024684,5.60890218981983
"BEL_2_1","BEL","forest","BEL_2",25.2077058807772,-0.492134298666524,-0.0459655719599621,2.33352908010342,5.77466801376516
"BEL_2_2","BEL","forest","BEL_2",19.3686352031503,2.22108646836955,2.91900616410467,0.553113430924143,2.7774263009754
"BEL_2_3","BEL","forest","BEL_2",22.9261524570948,2.29175625391387,2.42648530663442,0.631318144467098,5.78905206286537
"BEL_2_4","BEL","forest","BEL_2",23.3287643528309,2.54176311430835,4.78969935333848,2.08718117556327,4.71875045219954
"BEL_2_5","BEL","forest","BEL_2",25.2185419990776,-1.5856541049016,-1.97889462155731,-0.412219600831756,4.38597317306476
"BEL_3_1","BEL","forest","BEL_3",27.6587431721887,-0.465188348819819,5.22922713547279,0.168740389518328,6.16643497488927
"BEL_3_2","BEL","forest","BEL_3",27.5582287305775,1.07559328984892,1.11290273308253,4.43622099874143,8.15353578128667
"BEL_3_3","BEL","forest","BEL_3",20.9051864019668,0.799840568904583,2.92681864257926,0.791719293683116,5.92644689202688
"BEL_3_4","BEL","forest","BEL_3",31.2039449428787,3.25040689676196,3.32070557231841,1.05733395474102,7.2913459586315
"BEL_3_5","BEL","forest","BEL_3",26.7093951095273,2.82648508038054,4.31835366021896,-0.433072276592601,5.67182483939326
"DOM_1_1","DOM","paramo","DOM_1",18.686535944707,0.248043930574113,4.52650407077587,-3.42097182927543,5.61164765682945
"DOM_1_2","DOM","paramo","DOM_1",16.0580652376334,0.771873689377683,0.772084386241177,0.214967595671451,4.06706002167826
"DOM_1_3","DOM","paramo","DOM_1",21.1087151586793,2.44024898177385,2.88077105468164,3.32589823218373,6.15594498962703
"DOM_1_4","DOM","paramo","DOM_1",11.2696926199358,-0.265000949591028,3.25314125391751,-2.57490040470139,2.64868657503435
"DOM_1_5","DOM","paramo","DOM_1",14.1887443301166,0.733798037282359,4.35434790396153,-1.42028005364561,4.28143304874801
"DOM_2_1","DOM","subparamo","DOM_2",16.8926345022379,1.83709404001187,2.21697744219691,0.069686062840475,1.69267696121391
"DOM_2_2","DOM","subparamo","DOM_2",19.3140506373972,0.766353624150948,5.38140712395468,0.127736638903713,7.14882704798138
"DOM_2_3","DOM","subparamo","DOM_2",15.8422391065781,2.38453620168717,3.56075215026831,1.32265475908091,5.8422588504601
"DOM_2_4","DOM","subparamo","DOM_2",23.5648512974242,0.966953652590718,4.09019702269838,1.47060742652594,5.82236053412324
"DOM_2_5","DOM","subparamo","DOM_2",19.9579688978143,0.875313423674501,2.7432305823694,0.835792500348518,7.88318419220788
"DOM_3_1","DOM","forest","DOM_3",19.9092039030168,-1.50948783086513,4.90457843473446,0.243725466902854,6.81618515043837
"DOM_3_2","DOM","forest","DOM_3",20.8645748363824,-2.46955860318034,3.46501111527871,-0.374430662939774,5.75047252961801
"DOM_3_3","DOM","forest","DOM_3",25.8597337492076,-2.18938763454514,3.32967324970914,-1.00878712906485,5.310463860948
"DOM_3_4","DOM","forest","DOM_3",20.430672600921,-2.9701657352159,2.02214866177236,0.203776069143846,3.93432615244323
"DOM_3_5","DOM","forest","DOM_3",29.6372881177334,3.67299817248399,6.24134717003637,-0.0826501757303326,7.69679026417581
"MA_1_1","MA","paramo","MA_1",17.3766084847234,2.53393310262355,2.50274121964384,0.913904804762432,3.44091974012336
"MA_1_2","MA","paramo","MA_1",18.1498505127412,3.27661336945094,4.64683682142746,0.796172603519701,3.41242861776324
"MA_1_3","MA","paramo","MA_1",23.1963866863232,3.49050032643756,3.5394294196518,2.25845216872462,6.03778490537646
"MA_1_4","MA","paramo","MA_1",17.4177991542147,2.49741630950553,2.97886766598825,2.46570878466135,6.29290170551411
"MA_1_5","MA","paramo","MA_1",15.9731149225466,1.4193046283491,4.72359648495799,2.23182800512438,6.52870603680359
"MA_2_1","MA","subparamo","MA_2",18.8958670411597,1.15831501535903,0.959265017742487,-0.398520032226196,1.71121256515553
"MA_2_2","MA","subparamo","MA_2",17.0462148293699,0.744089586810344,0.554756181096002,1.54460698111789,2.12719063069063
"MA_2_3","MA","subparamo","MA_2",12.5909380407326,2.63920717877204,3.03540217460788,2.11771891069612,3.31197574483437
"MA_2_4","MA","subparamo","MA_2",13.0713161043815,2.31196099718941,2.81494840252645,1.69530344140305,5.58632346655891
"MA_2_5","MA","subparamo","MA_2",18.8382260838653,2.75936823855545,3.02182698386436,0.792552969817529,3.51088022598453
"NV_1_1","NV","paramo","NV_1",16.4255936559084,2.20014827437772,2.48310131517558,0.838366041156646,3.61815690798088
"NV_1_2","NV","paramo","NV_1",20.0007790005199,3.22778459331396,3.95469625439108,1.88832326920909,4.95112106013854
"NV_1_3","NV","paramo","NV_1",17.233568136726,-2.60451019238387,3.34580696502376,0.828666664412016,5.22194024054933
"NV_1_4","NV","paramo","NV_1",22.8588353595076,1.38497574493026,1.63166941518899,-2.06730090087231,4.80365145907747
"NV_1_5","NV","paramo","NV_1",19.4577824926997,0.707034853402524,0.832634250347954,2.21449645375927,4.58966904989715
"NV_2_1","NV","subparamo","NV_2",16.2390136482953,0.674196013830242,2.32873192410468,-0.0838738988664303,5.23801632572957
"NV_2_2","NV","subparamo","NV_2",16.5457544186708,0.0548327508424653,1.30506661425466,0.643164918203803,3.99137910322647
"NV_2_3","NV","subparamo","NV_2",15.8274877162263,-0.793822596405916,-0.407497048374477,0.0478324594903297,4.86420283116211
"NV_2_4","NV","subparamo","NV_2",21.1308031699248,1.6796590654016,1.53894696314563,-1.33869445701881,4.35671439971718
"NV_2_5","NV","subparamo","NV_2",20.4925653033983,1.71614244675159,2.22968829131985,-1.00001978316626,4.99129264833786
"NV_3_1","NV","forest","NV_3",26.1329624449819,3.57661628651483,5.00596201953746,5.11120794667381,7.37483549691652
"NV_3_2","NV","forest","NV_3",29.1922345904008,0.862973697618526,3.57764116150492,1.0315650297005,6.93843482331595
"NV_3_3","NV","forest","NV_3",24.1144065614004,0.603200882692487,3.11137756761731,3.81907896941853,6.81637298055709
"NV_3_4","NV","forest","NV_3",22.2649800564958,0.883989356020192,2.15332138286523,2.68270333112665,5.00682524071615
"NV_3_5","NV","forest","NV_3",22.8961021051153,2.69132259772263,4.10905580711369,-0.0680221815731258,4.4969020120682
"NV_4_1","NV","forest","NV_4",23.9340289477201,1.30348472404739,3.04844737810415,2.24711212995981,6.77429252206887
"NV_4_2","NV","forest","NV_4",17.3794090606116,1.05655543956729,1.74886404201786,0.836782781615275,4.05936555827409
"NV_4_3","NV","forest","NV_4",13.3083088321696,1.01774137323876,1.92202945658968,0.214192566896163,2.52476699779052
"NV_4_4","NV","forest","NV_4",23.4553930231775,1.75625631243773,2.61034131422501,1.89954311302816,5.67712569231681
"NV_4_5","NV","forest","NV_4",21.9366839272722,2.60085769641833,3.93726824216115,-2.16104969317669,3.92321663605955
