"diversity","q","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"TD",0,"linear",-0.522584599080496,0.121403690863028,54,-0.765984344401368,-0.279184853759625,-4.30451986562825,7.08931194280958e-05
"TD",0,"quadratic",0.31535110191659,0.183730060319636,54,-0.0530054906357902,0.683707694468971,1.71638272674582,0.0918240655510025
"TD",1,"linear",-0.423323699866618,0.191481647269911,54,-0.807221288546193,-0.0394261111870428,-2.21077949715935,0.0313069166372166
"TD",1,"quadratic",0.35825227181661,0.28978472032367,54,-0.222731111993684,0.939235655626904,1.23627039899297,0.221708534063043
"TD",2,"linear",-0.282034781437027,0.209931388506922,54,-0.702921874195116,0.138852311321062,-1.34346170643142,0.184741185571798
"TD",2,"quadratic",0.423387582962771,0.31770621139417,54,-0.213575019990097,1.06035018591564,1.33263866987317,0.18824650728991
"PD",0,"linear",-0.458250380293967,0.101642664771355,54,-0.662031653690298,-0.254469106897636,-4.50844516251912,3.5517302553258e-05
"PD",0,"quadratic",0.205513645360211,0.153824095435114,54,-0.102885097601912,0.513912388322333,1.33603025442071,0.187142668318733
"PD",1,"linear",-0.235271293826803,0.0966305521408304,54,-0.429003886420129,-0.0415387012334757,-2.43475058989538,0.0182368439633879
"PD",1,"quadratic",0.0959527409766363,0.146238858533428,54,-0.197238517625298,0.38914399957857,0.656137102948616,0.51452213330931
"PD",2,"linear",-0.135642968862703,0.0637930034075016,54,-0.263540240125713,-0.00774569759969326,-2.12629852205317,0.0380658664902717
"PD",2,"quadratic",0.164696063452133,0.0965431304494249,54,-0.0288612592027565,0.358253386107023,1.70593249551205,0.0937667930875176
