"","samplename","Individual","site","elevation","elevation_adj","altitudinal_level","habitat","Fieldcontrol","plate","sampletype","extract_blank"
"S_1_1_P3","BEL_2_I_A","1","BEL",2950,3000,2,"forest","S_S2_2","P3","S","E_1_7"
"S_1_2_P2","BEL_2_III_A","3","BEL",2950,3000,2,"forest","S_S2_2","P2","S","E_1_7"
"S_1_3_P2","BEL_2_IV_A","4","BEL",2950,3000,2,"forest","S_S2_2","P2","S","E_1_7"
"S_1_4_P3","BEL_2_II_A","2","BEL",2950,3000,2,"forest","S_S2_2","P3","S","E_1_7"
"S_1_5_P2","BEL_2_V_A","5","BEL",2950,3000,2,"forest","S_S2_2","P2","S","E_1_7"
"S_1_6_P2","BEL_2_IV_B","4","BEL",2950,3000,2,"forest","S_S2_2","P2","S","E_1_7"
"S_10_1_P1","NV_4_IV_A","4","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_10_P2","MA_1_III_A","3","MA",3677,3800,1,"paramo","S_S2_4","P2","S","E_10_12"
"S_10_11_P1","MA_1_IV_A","4","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_10_12"
"S_10_2_P1","NV_4_V_A","5","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_3_P1","NV_4_I_B","1","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_4_P1","NV_4_II_B","2","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_5_P1","NV_4_III_B","3","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_6_P1","NV_4_IV_B","4","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_7_P1","NV_4_V_B","5","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_10_12"
"S_10_8_P1","MA_1_I_A","1","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_10_12"
"S_10_9_P1","MA_1_II_A","2","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_10_12"
"S_11_1_P1","MA_1_V_A","5","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_11_12"
"S_11_10_P2","MA_2_IV_A","4","MA",3380,3300,2,"subparamo","S_S2_5","P2","S","E_11_12"
"S_11_11_P1","MA_2_V_A","5","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_11_12"
"S_11_2_P2","MA_1_I_B","1","MA",3677,3800,1,"paramo","S_S2_4","P2","S","E_11_12"
"S_11_3_P1","MA_1_II_B","2","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_11_12"
"S_11_4_P2","MA_1_III_B","3","MA",3677,3800,1,"paramo","S_S2_4","P2","S","E_11_12"
"S_11_5_P1","MA_1_IV_B","4","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_11_12"
"S_11_6_P1","MA_1_V_B","5","MA",3677,3800,1,"paramo","S_S2_4","P1","S","E_11_12"
"S_11_7_P1","MA_2_I_A","1","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_11_12"
"S_11_8_P2","MA_2_II_A","2","MA",3380,3300,2,"subparamo","S_S2_5","P2","S","E_11_12"
"S_11_9_P1","MA_2_III_A","3","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_11_12"
"S_12_1_P2","MA_2_I_B","1","MA",3380,3300,2,"subparamo","S_S2_5","P2","S","E_12_6"
"S_12_2_P1","MA_2_II_B","2","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_12_6"
"S_12_3_P1","MA_2_III_B","3","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_12_6"
"S_12_4_P1","MA_2_IV_B","4","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_12_6"
"S_12_5_P1","MA_2_V_B","5","MA",3380,3300,2,"subparamo","S_S2_5","P1","S","E_12_6"
"S_2_1_P3","BEL_2_I_B","1","BEL",2950,3000,2,"forest","S_S2_2","P3","S","E_2_12"
"S_2_10_P3","BEL_1_I_B","1","BEL",3200,3300,1,"subparamo","S_S2_1","P3","S","E_2_12"
"S_2_11_P2","BEL_1_II_B","2","BEL",3200,3300,1,"subparamo","S_S2_1","P2","S","E_2_12"
"S_2_2_P2","BEL_2_II_B","2","BEL",2950,3000,2,"forest","S_S2_2","P2","S","E_2_12"
"S_2_3_P3","BEL_2_III_B","3","BEL",2950,3000,2,"forest","S_S2_2","P3","S","E_2_12"
"S_2_4_P3","BEL_2_V_B","5","BEL",2950,3000,2,"forest","S_S2_2","P3","S","E_2_12"
"S_2_5_P3","BEL_1_I_A","1","BEL",3200,3300,1,"subparamo","S_S2_1","P3","S","E_2_12"
"S_2_6_P2","BEL_1_II_A","2","BEL",3200,3300,1,"subparamo","S_S2_1","P2","S","E_2_12"
"S_2_7_P4","BEL_1_III_A","3","BEL",3200,3300,1,"subparamo","S_S2_1","P4","S","E_2_12"
"S_2_8_P4","BEL_1_IV_A","4","BEL",3200,3300,1,"subparamo","S_S2_1","P4","S","E_2_12"
"S_2_9_P3","BEL_1_V_A","5","BEL",3200,3300,1,"subparamo","S_S2_1","P3","S","E_2_12"
"S_3_1_P2","BEL_1_III_B","3","BEL",3200,3300,1,"subparamo","S_S2_1","P2","S","E_3_12"
"S_3_10_P2","BEL_3_II_B","2","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_3_12"
"S_3_11_P1","BEL_3_III_B","3","BEL",2700,2700,3,"forest","S_S2_3","P1","S","E_3_12"
"S_3_2_P3","BEL_1_IV_B","4","BEL",3200,3300,1,"subparamo","S_S2_1","P3","S","E_3_12"
"S_3_3_P3","BEL_1_V_B","5","BEL",3200,3300,1,"subparamo","S_S2_1","P3","S","E_3_12"
"S_3_4_P1","BEL_3_I_A","1","BEL",2700,2700,3,"forest","S_S2_5","P1","S","E_3_12"
"S_3_5_P2","BEL_3_II_A","2","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_3_12"
"S_3_6_P2","BEL_3_III_A","3","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_3_12"
"S_3_7_P2","BEL_3_IV_A","4","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_3_12"
"S_3_8_P1","BEL_3_V_A","5","BEL",2700,2700,3,"forest","S_S2_5","P1","S","E_3_12"
"S_3_9_P2","BEL_3_I_B","1","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_3_12"
